&| ˈʌ w
'rødhalsen'|ʁ ˈʔœ ð h a l s ə n
's|ˈe s
'samfundsskadelig'|s ˈ?ɑ m f ɒ n s k ˌa ð ə l ʔi
'sammen'|s ˈ?ɑ m ə n
'sange|s ˈ?ɑ ŋ ə 
'sensationslystne'|s ˌʔe n s a ʃ ˈʔo n s l œ s t n ə 
'septembers|s ʔe p t ˈε m b ʔʌ s
'sikkerhedsnet'|s ˈʔe k ʔʌ h ˌʔe ð s n ə ð
'skatteøen'|s k ˈa t ə  ʔœ ə n
'skræmmende|s ɡ ʁ ˈ?a m ə n ə
'slowly|s l ˈʔo w l ʔy
'snemanden|s n ˈʔe m a n ə n
'soigneur'|s ˈo a ŋ ˌœ ʔu ɐ̯
'solgt'|s ˈʔʌ l t
'som|s ˈʔʌ m
'sommergågade'|s ˈʔʌ m ʔʌ ɡ ˌɒ u ˌa ð ə 
'sonja|s ˈʔo n j a
'soul'|s ˈɒ w l
'specifikt|s p ˌʔe s ʔi f ˈʔi k t
'spoofing'|s p ˈuː f ʔe ŋ
'stemmeseddel'|s t ˈε m ə s ε ð ə l
'stien'|s t ˈʔi ə n
'stor|s t ˈʔo ɐ̯
'store|s t ˈʔo ɐ̯ ʔʌ
'straffet'|s t ʁ ˈ?ɑ f ə ð
'studio|s t ˈʔu ð ʔi ˌʔo
'stå|s t ˈɒ
'superspredning'|s ˈʔu p ʔʌ s p ʁ ˌε ð n ʔe ŋ
'surfing|s ˈœː f ʔe ŋ
'svantes|s ʋ ˈa n d ə  s
'svine|s ʋ ˈi n ə 
'synliggørelser'|s ˈʔy n l ʔi ɡ ˌœ ʔʌ l s ˌʔʌ 
'søren|s ˈœ ʔʌ n
'tags'|t ˈa j s
'teenminton'|t ˈʔeː ε n m ˌʔi n t ʔʌ n
'the| ð ˈə 
'tigerenker'|t ˈi ʌ ˌε n k ʔʌ 
'tilladt|t ˈʔe l a t
'tilsidesætte|t ʔe l s ˈi ð ə s ε t ə 
'tk'|t ˌeː k ˈɒɒ
'toppen'|t ˈʔʌ p ə n
'torvet|t ˈɒ ʋ ə ð
'trappetrin|t ʁ ˈ?ɑ p ʔe t ʁ ˌʔi n
'tro|t ʁ ˈʔo
'trold|t ɐ̯ ˈʔʌ l
'tånning'|t ˈɒ n ʔe ŋ
'tæv|t ˈε w
'umenneskelig'|u  m ˈε n ε s k ə l ˌʔi
'unge|ˈɒ ŋ ə 
'utilfredsstillende'|u  t e l f ʁ ˈε s s t ʔe l ə n ə
'utrolig|u  t ʁ ˈʔo l ʔi
'uværdig'|u  ʋ ˈε ɐ̯ d i
'valkyrien'|ʋ a l k ˈy ɐ̯ j ə n
'vandpest'|ʋ ˈa n p ə s t
'vedvarende'|ʋ ˈʔe ð ʋ ɑ ˌɑ  n ə 
'veninderne'|ʋ ʔe n ˈʔe n ʔʌ ɐ̯ n ə 
'verdensmålene'|ʋ ˈε ɐ̯ d ə n s m ʔʌ l ə n ə
'vikings'|ʋ ˈʔi k ʔe ŋ s
'vild|ʋ ˈʔi l
'vindfløj'|ʋ ˈʔe n f l ʔʌ j
'vinterligger'|ʋ ˈʔe n t ʔʌ l ˌʔe ɡ ʔʌ
'virkeligheden'|ʋ ˈʔi ɐ̯ k ə l ʔi h ˌʔe ð ə n
'vm|ʋ ˌe ˈɛ m
'være|ʋ ˈɛ ʔʌ 
'åh|ˈɒ
'årets|ˈɒ ɒ ð s
a|ˈa
aa|ˈa a
aab|ˈa a b
aab's|ˈa a b s
aabak|ˈa a b ˌ?ɑ k
aabech|ˈa a b ˌʔe ʃ
aabenraa|ˈa a b ə n ʁ ˌa a
aabenraas|ˈa a b ə n ʁ ˌa a s
aabling|ˈa a b l ˌʔe ŋ
aabrink|ˈa a b ɐ̯ ˌʔi n k
aabs|ˈa a b s
aabwenraa|ˈa a b w ˌε n ʁ a ˌa
aaby|ˈa a b ˌʔy
aabybro|ˈa a b ˌʔy b ɐ̯ ʔo
aab’s|ˈa a b s
aaen|ˈa a ə n
aagaard|ˈa ?ɑ ɡ ˌa ɑ d
aage|ˈɒɒ ʔu ə
aagesen|ˈɒɒ ʔu ə s ə n
aakjær|ˈa ?ɑ k j ˌε ɐ̯
aalborg|ˈa a l b ˌɒɒ w
aalborgensiske|ˈa a l b ˌɒɒ w ʔe n s ˌʔi s k ə 
aalborgs|ˈa a l b ˌɒɒ w s
aalbæk|ˈa a l b ˌε k
aalestrup|ˈa a l ˌε s t ʁ u p
aalholm|ˈa a l h ˌʔʌ l m
aalund|ˈa a l ˌɒ n
aamand|ˈa a m ˌa n
aamann|ˈa a m ˌa n
aamodt|ˈa a m ˌʔo t
aare|ˈa ɑ ɐ̯ ˌʔʌ
aaret|ˈa ɑ ˌ?ɑ ə ð
aarhus|ˈa ɑ h ˌʔu s
aarhus'|ˈa ɑ h ˌʔu s
aarhusfirmaet|ˈa ɑ h ˌʔu s f ʔi ɐ̯ m ˌa ə ð
aarhusianer|ˈa ɑ h ˌʔu s ʔi ˌa n ʔʌ 
aarhusianere|ˈa ɑ h ˌʔu s ʔi ˌa n ʔʌ ʔʌ
aarhusianerne|ˈa ɑ h ˌʔu s ʔi ˌa n ʔʌ n ə
aarhusiansk|ˈa ɑ h ˌʔu s ʔi ˌa n s k
aarhusianske|ˈa ɑ h ˌʔu s ʔi ˌa n s k ə 
aarhus’|ˈa ɑ h ˌʔu s
aaron|ˈɑ ɐ̯ ʌ n
aars|ˈa ɑ s
aarsleff|ˈa ɑ s l ˌʔe f
aarstad|ˈa ɑ s t ˌa ð
aarstidernes|ˈa ɑ s t ˌʔi ð ʌ n ə  s
aarup|ˈa ɑ ʁ ˌɒ p
aarø|ˈa ɑ ʁ ˌʔœ
aarøsund|ˈa ɑ ʁ ˌʔœ s ɒ n
aase|ˈa a s ə 
aasengjuvet|ˈa a s ˌε ŋ j u ʋ ə ð
aasted|ˈa a s t ˌε ð
aastrup|ˈa a s t ʁ ˌu p
ababa|ˈa b ?ɑ b ˌa
abas|ˈa b a s
abassi|ˈa b a s ˌʔi
abbas|ˈa b a s
abbasi|ˈa b a s ˌʔi
abboud|ˈa b ʔu ð
abc|ˈ?ɑ b k
abc”|ˈ?ɑ b k
abdi|ˈ?ɑ b d ʔi
abdinasir|ˈ?ɑ b d ʔi n ˌa s ʔi ɐ̯
abdinur|ˈ?ɑ b d ʔi n ˌʔu ɐ̯
abdoulie|ˈ?ɑ b d ʔu l j ə 
abdul|ˈ?ɑ b d ʔu l
abdullah|ˈ?ɑ b d ʔu l ˌa
abel|ˈa b ə l
abela|ˈa b ə l a
abena|ˈa b ə n a
aber|ˈa b ʔʌ
aberdeen|ˌa b ʔʌ d ˈʔeː ə n
abergel|ˈa b ʔʌ ɡ ə l
abid|ˈa b ʔi ð
abidjan|ˈa b ʔi ð j ˌa n
abild|ˈa b ʔi l
abildgaard|ˈa b ʔi l ɡ ˌa ɑ d
abildgård|ˈa b ʔi l ɡ ˌɒɒ
abildgården|ˈa b ʔi l ɡ ˌɒɒ ʔʌ n
abildgårdskolen|ˈa b ʔi l ɡ ˌɒɒ s k o l ə n
abildgårdsskolen|ˈa b ʔi l ɡ ˌɒɒ s k o l ə n
abildskov|ˈa b ʔi l s k ˌɔ w
abir|ˈa b ʔi ɐ̯
abkke|ˈ?ɑ b k ə 
abne|ˈ?ɑ b n ə 
abonnement|ˌa b ʔʌ n ə m ˈ?ɑ ŋ
abonnementer|ˌa b ʔʌ n ə m ˈ?ɑ ŋ ʔʌ 
abonnementet|ˌa b ʔʌ n ə m ˈ?ɑ ŋ ə ð
abonnementsfælden|ˌa b ʔʌ n ə m ˈ?ɑ ŋ s f ε l ə n
abonnementsordning|ˌa b ʔʌ n ə m ˈ?ɑ ŋ s ˈɒɒ d n ʔe ŋ
abonnenter|ˌa b ʔʌ n ˈε n t ʔʌ 
abonnenterne|ˌa b ʔʌ n ˈε n t ʔʌ n ə
abonnere|ˌa b ʔʌ n ˈʔe ʔʌ
abonnerer|ˌa b ʔʌ n ˈʔe ʔʌ 
aborrer|ˈa b ɒ ɐ̯ ˌʔʌ
abort|a b ˈɒɒ t
aborten|a b ˈɒɒ d ə n
abortere|a b ˌɒɒ t ˈʔe ʌ
abortmodstandere|a b ˈɒɒ t m ʔo ð s t ˌa n ʔʌ ʔʌ
abou|ˈa b ʔu
abraham|ˈa b ɐ̯ ɑ h ˌ?ɑ m
abrahamsen|ˈa b ɐ̯ ɑ h ˌ?ɑ m s ə n
abruzzo|ˈa b ɐ̯ ʔu s ˌʔo
absalon|ˈ?ɑ b s a l ˌʔʌ ŋ
absalons|ˈ?ɑ b s a l ˌʔʌ ŋ s
absalonsen|ˈ?ɑ b s a l ˌʔʌ ŋ s ə n
absalonsgade|ˈ?ɑ b s a l ˌʔʌ ŋ s ɡ a ð ə 
absentia|ˈ?ɑ b s ε n t ˌʔi a
absolut|ˌ?ɑ b s ʔo l ˈʔu t
absolutte|ˌ?ɑ b s ʔo l ˈʔu ə 
absorbere|ˌ?ɑ b s ʔʌ b ˈʔe ʔʌ
absorberer|ˌ?ɑ b s ʔʌ b ˈʔe ʔʌ
abstinensbehandling|ˈ?ɑ b s t i n ə n s b ˌʔe h a n l ˌʔe ŋ
abstinenser|ˌ?ɑ b s t i n ˈε n s ʔʌ 
abstinenssymptomer|ˈ?ɑ b s t i n ə n s ˌʔy m t o m ˌʔʌ 
abstrakte|?ɑ b s t ʁ ˈ?ɑ k d ə
absurde|?ɑ b s ˈu ɐ̯ d ə 
absurditet|?ɑ b s ˌu ɐ̯ d i t ˈʔe t
abu|ˈa b ʔu
abuhamzehi|ˈa b ʔu h ˌ?ɑ m s ʔe h ˌʔi
ac|ˈa k
academy|ˈa k a ð ˌε m ʔy
acceleration|ˌ?ɑ k s ə l ʔe ʁ ?ɑ ʃ ˈʔo n
accelererede|ˌ?ɑ k s ə l e ʁ ˈʔe ɐ̯ ʔʌ ð ə
accelereret|ˌ?ɑ k s ə l e ʁ ˈʔe ʌ ð
accept|?ɑ k s ˈε p t
acceptabelt|?ɑ k s ˌε p t ˈa b ə l t
acceptable|?ɑ k s ˌε p t ˈa b l ə 
accepten|?ɑ k s ˈε p d ə n
acceptere|?ɑ k s ˌε p t ˈʔe ʔʌ
accepterede|?ɑ k s ˌε p t ˈʔe ɐ̯ ʔʌ ð ə
accepterer|?ɑ k s ˌε p t ˈʔe ʔʌ
accepteres|?ɑ k s ˌε p t ˈʔe ɐ̯ ʔʌ s
accepteret|?ɑ k s ˌε p t ˈʔe ʌ ð
accordeon|ˈ?ɑ k s ʔo ʁ ˌʔe ʔo n
acke|ˈ?ɑ k ə 
acontobeløb|ˈa k ʔʌ n t ˌo b ə l ʔœ b
act|ˈa k t
action|ˈa k ʃ j ə n
actioncard|ˈa k ʃ j ə n k ˌɑ d
actionfilm|ˈa k ʃ j ə n f ˌʔi l m
actionprægede|ˈa k ʃ j ə n p ʁ ˌε j ə ð ə
active|ˈa k t i ʋ ə 
acton|ˈa k t ʔʌ n
act’|ˈa k t
adam|ˈa d ɑ m
adama|ˈa d a m ˌa
adamsen|ˈa d ɑ m s ə n
adaptvac|ˈa ð a p t ʋ ˌ?ɑ k
addis|ˈa ð ʔi s
add’en|ˈa ð ə n
adelborg|ˈa ð ə l b ɒɒ w
adele|ˈa ð ə l ə 
adelen|ˈa ð ə l ə n
adeler|ˈa ð ə l ʔʌ 
adelig|ˈa ð ə l ʔi
adelige|ˈa ð ə l ˌi ə
adelina|ˈa ð ə l ʔi n ˌa
adelsmanden|ˈa ð ə l s m a n ə n
adelørn|ˈa ð ə l ʔœ ɐ̯ n
adept|ˈa ð ʔe p t
adfærd|ˈa ð f ε ɐ̯
adfærd'|ˈa ð f ε ɐ̯
adfærden|ˈa ð f ε ɐ̯ ˌʔʌ n
adfærdsdesign|ˈa ð f ε ɐ̯ s d ˌe s ?ɑ ˌi n
adfærdsguider|ˈa ð f ε ɐ̯ s ɡ ˌaɪ d ʌ
adfærdsklagesager|ˈa ð f ε ɐ̯ s k l ˌa j ə s a j ˌʌ
adgangen|ˈa ð ɡ ?ɑ ŋ ə n
adgangs|ˈa ð ɡ ?ɑ ŋ s
adgangsbegrænsning|ˈa ð ɡ ?ɑ ŋ s b ˌʔe ɡ ʁ ?a n s n ˌʔe ŋ
adgangsforhold|ˈa ð ɡ ?ɑ ŋ s f ˌʌː h ʔʌ l
adgangskontrol|ˈa ð ɡ ?ɑ ŋ s k ˌʔʌ n t ɐ̯ ʔʌ l
adgangskontrollen|ˈa ð ɡ ?ɑ ŋ s k ˌʔʌ n t ɐ̯ ʔʌ l ə n
adgangskort|ˈa ð ɡ ?ɑ ŋ s k ˌɒɒ t
adgangskrav|ˈa ð ɡ ?ɑ ŋ s ɡ ʁ ˌ?ɑ w
adgangskravet|ˈa ð ɡ ?ɑ ŋ s ɡ ʁ ˌɑ ʋ ə ð
adgangsregulering|ˈa ð ɡ ?ɑ ŋ s ʁ ˌε ɡ u l ˌʔe ɐ̯ ʔe ŋ
adgangsveje|ˈa ð ɡ ?ɑ ŋ s ʋ ˌ?ɑ j ə 
adgangsvejen|ˈa ð ɡ ?ɑ ŋ s ʋ ˌ?ɑ j ə n
adhanom|ˈa ð h a n ˌʔʌ m
adhd|ˈa ð h d
adi|ˈa ð ʔi
adidas|ˈa ð ʔi ð ˌa s
adjektiver|ˈa ð j ʔe k t ˌi ʋ ʔʌ
adler|ˈa ð l ʔʌ 
adm|ˈa ð m
admin|ˈa ð m ʔi n
admininstration|ˈa ð m ʔi n ˌʔe n s t ʁ ?ɑ ʃ ˌʔo n
administration|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n
administrationen|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n ə n
administrationens|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n ə n s
administrationsbachelorernes|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n s b ɑ x ə l ˌo ʔʌ n ə s
administrationsbygningen|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n s b ʔy ɡ n ˌʔe ŋ ə n
administrationschef|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n ʃ ε f
administrationsfirmaer|ˌa ð m ʔi n ˌʔi s t ʁ ?ɑ ʃ ˈʔo n s f ʔi ɐ̯ m ˌa ʔʌ 
administrativ|ˈa ð m ʔi n ˌʔi s t ʁ ?ɑ t ˌʔi w
administrative|ˈa ð m ʔi n ˌʔi s t ʁ ?ɑ t ˌi ʋ ə
administrativt|ˈa ð m ʔi n ˌʔi s t ʁ ?ɑ t ˌʔi w t
administrator|ˌa ð m ʔi n ʔi s t ʁ ˈɑ t ʌ
administratoren|ˌa ð m ʔi n ʔi s t ʁ ˈɑ t ʌ ˌʔʌ n
administrerende|ˌa ð m ʔi n ʔi s t ʁ ˈʔe ɐ̯ ə n ə
administrerer|ˌa ð m ʔi n ʔi s t ʁ ˈε ɐ̯ ʔʌ
administreres|ˌa ð m ʔi n ʔi s t ʁ ˈɛ ʔʌ s
administreret|ˌa ð m ʔi n ʔi s t ʁ ˈʔe ʌ ð
adminstrationen|ˈa ð m ʔe n s t ʁ ˌ?ɑ ʃ o n ə n
admiral|ˌa ð m ʔi ʁ ˈ?ɑ l
admiralen|ˌa ð m ʔi ʁ ˈ?ɑ l ə n
adomako|ˈa ð ʔo m ˌ?ɑ k ʔo
adoptere|ˌa d ʔʌ p t ˈʔe ʔʌ
adopteret|ˌa d ʔʌ p t ˈʔe ʌ ð
adoption|ˌa ð ʔʌ p ʃ ˈʔo n
adoptioner|ˌa ð ʔʌ p ʃ ˈʔo n ʔʌ 
adoptionsloven|ˌa ð ʔʌ p ʃ ˈʔo n s l ɒ ʋ ə n
adoptionsvirksomhed|ˌa ð ʔʌ p ʃ ˌʔo n s ʋ ˈʔi ɐ̯ k s ʔʌ m h ˌʔe ð
adoptivmor|ˌa ð ʔʌ p t ˈʔi w m ʔo ɐ̯
adrenalin|ˌa d ʁ ε n a l ˈʔi n
adrenalinet|ˌa d ʁ ε n a l ˈi n ə ð
adrenalinproduktion|ˌa d ʁ ε n a l ˈʔi n p ʁ ʔo ð ˌʔu k ʃ ʔo n
adressen|a d ʁ ˈa s ə n
adresser|a d ʁ ˈa s ʌ
adressere|ˌa d ʁ a s ˈe ʔʌ 
adressetilmeldinger|a d ʁ ˈa s ə t ʔe l m ˌε l ʔe ŋ ˌʔʌ
adrian|ˈa d ʁ ʔi ˌa n
adriatico|ˈa d ʁ ʔi ˌa t ʔi k ˌʔo
adsbøl|ˈa ð s b ʔœ l
adsersen|ˈa ð s ɛ ɐ̯ s ə n
adskille|ˈa ð s k ʔe l ə 
adskillelse|ˈa ð s k ʔe l ə l s ə 
adskillelsen|ˈa ð s k ʔe l ə l s ə n
adskiller|ˈa ð s k ʔe l ˌʔʌ
adskilles|ˈa ð s k ʔe l ə  s
adskillige|a ð s k ˈʔe l i ə
adskilt|ˈa ð s k ʔe l t
adskilte|ˈa ð s k ʔe l d ə 
adspredes|ˈa ð s p ʁ ɛ ð ə s
adspurgte|ˈa ð s p o ɐ̯ t ə
advanced|ˈa ð ʋ ?ɑ ŋ s ə ð
advarede|ˈa ð ʋ ɑ ˌ?ɑ ð ə
advarer|ˈa ð ʋ ?ɑ ˌʔʌ
advares|ˈa ð ʋ ɑ ˌɑ  s
advaret|ˈa ð ʋ ɑ ˌ?ɑ ə ð
advarsel|ˈa ð ʋ ɑ s ə l
advarselslampe|ˈa ð ʋ ɑ s ə l s l ˌ?ɑ m p ə 
advarselslamper|ˈa ð ʋ ɑ s ə l s l ˌ?ɑ m p ʔʌ 
advarselslamperne|ˈa ð ʋ ɑ s ə l s l ˌ?ɑ m p ʔʌ n ə
advarselssignaler|ˈa ð ʋ ɑ s ə l s ˌi n a l ˌʔʌ 
advarslen|ˈa ð ʋ ɑ s l ə n
advarsler|ˈa ð ʋ ɑ s l ˌʔʌ 
advarslerne|ˈa ð ʋ ɑ s l ˌʔʌ n ə
advarslestegn|ˈa ð ʋ ɑ s l ˌε s t ?ɑ j n
adventskirken|ˈa ð ʋ ε n t s k ˌʔi ɐ̯ k ə n
adventskransen|ˈa ð ʋ ε n t s ɡ ʁ ˌ?ɑ n s ə n
adventurerace|ˈa ð ʋ ε n t ˌu ʁ ε ʁ ˌɑ s ə 
advice|ˈa ð ʋ i s ə 
advisory|a ð ʋ ˈʔi s ʔʌ ˌʔy
advokaten|ˌa ð ʋ ʔo k ˈa d ə n
advokater|ˌa ð ʋ ʔo k ˈa d ʔʌ
advokaterne|ˌa ð ʋ ʔo k ˈa d ʔʌ n ə
advokatfirma|ˌa ð ʋ ʔo k ˈa d f ʔi ɐ̯ m ˌa
advokatfirmaet|ˌa ð ʋ ʔo k ˈa d f ʔi ɐ̯ m ˌa ə ð
advokatfuldmægtig|ˌa ð ʋ ʔo k ˈa d f ʔu l m ε ɡ t ˌʔi
advokatpenge|ˌa ð ʋ ʔo k ˈa d p ε ŋ ə 
advokatundersøgelse|ˌa ð ʋ ʔo k ˈa d ɒ n ˌʔʌ s œ j ə l s ə 
advokatundersøgelsen|ˌa ð ʋ ʔo k ˈa d ɒ n ˌʔʌ s œ j ə l s ə n
advokatvurdering|ˌa ð ʋ ʔo k ˈa d ʋ ʔu ɐ̯ d ˌʔe ɐ̯ ʔe ŋ
