&|ɟ ˈəʊɜ v ˌaː2 
adrenalin| ɐɐ d ɹ ˈɛ7 n ɐɐ l ˌɪ1 n  
adrenaline| ɐɐ d ɹ ˈɛ7 n ə1 l ˌɪ1 n  
adriano| ˌa1 d ɹ ii  ˈɑː7 n əʊəʊ  
adrien| ˈa7 d ɹ iə1 n  
advance| ɐɐ d v ˈa7 n s  
advanced| ɐɐ d v ˈa7 n s t  
adventures| ɐɐ d v ˈɛ7 n tʃ əə z  
advil| ˈa7 d v ɪ1 l  
adélie| ɐɐ d ˈeɪ7 l ii  
ae| ˌeɪ1 ˈiː7  
aehra| ˈiː7 h ɹ ə1  
aeneid| ˈiː7 n eɪ1 d  
aeon| ˈiː7  ɒ1 n  
aerobic| eə1 ɹ ˈəʊəʊ b ɪ1 k  
aes| ˌeɪ1 ˌiː1  ˈɛ7 s  
af| ˈa7 f  
afa| ɐɐ f ˈa7  
afc|ˈaː1  ˈɛɜ p  s ˈe7 
aff|ˈaː1  ˈɛɜ p  ˈɛɜ p 
afganistan| ˌa1 f ɡ ɐɐ n ɪ1 s t ˈɑː7 n  
afghan| ˈa7 f ɡ a1 n  
afghanistan| a1 f ɡ ˈa7 n ɪ1 s t ˌɑː1 n  
afif| ɐɐ f ˈɪ7 f  
aflatoxin| ɐɐ f l ˈa7 t ə1 k s ˌɪ1 n  
afp|ˈaː1  ˈɛɜ p  p ˈe7 
ag|ˈaː1  ð ˈe7 
agirbank| ˈa7 ɡ ə1 b ˌa1 ŋ k  
agri| ˈa7 ɡ ɹ ii  
agribank| ˈa7 ɡ ɹ ɪ1 b ˌa1 ŋ k  
agrico| ˈa7 ɡ ɹ ɪ1 k ˌəʊəʊ  
agriseco| a1 ɡ ɹ ˈaɪ7 s k əʊəʊ  
aguero| ˈeɪ7 ɡ ɹ əʊəʊ  
aguilera| ˌa1 ɡ iː1 l ˈeə7 ɹ ə1  
ah|ˈaː7 h 
aharon| ˈa7 h a1 ɹ ə1 n  
ahmed| ˈa7 x m ɛ1 d  
ahn|ˈaː7 h n 
ahuja| ˈa7 h j uː1 dʒ ə1  
ai|ˈaː7 j
aic|ˈaː7 j c 
aids| ˈeɪ7 d z  
aigues| ˈeɪ7 ɡ z  
ailen|ˈaː7 j l ɛ1 n 
aimilia| eɪ1 m ˈɪ7 l iə1  
ainsi|(en) ˈeɪ7 n s ii (vi)
aipa|ˈaː7 j p aː1 
air| ˈeə7  
airbus| ˈeə7 b ʌ1 s  
airlines| ˈeə7 l aɪ1 n z  
airports| ˈeə7 p ɔːɔː t s  
airtag|ˈaː1  ˈi1  ˈɛ1 ʐ əː2  t ˈe1  ˈaː1  ð ˈe7 
airway|ˈaː7 j z w a1 j 
airways| ˈeə7 w eɪ1 z  
aishwarya| ˈeɪ7 ʃ w eə1 ɹ ɪ1  ə1  
aix| ˈeɪ7 k s  
ai”|ˈaː7 j 
ajax| ˈeɪ7 dʒ a1 k s  
ajay| ˈa7 dʒ eɪ1  
ajcep| ˈa7 dʒ s ɛ1 p  
ajinomoto| ˌa1 dʒ ɪ1 n ə1 m ˈəʊəʊ t əʊəʊ  
ak| ˈa7 k  
aka| ˈa7 k ɐɐ  
akamai| ˈa7 k ɐɐ m ˌaɪ1  
akanji| ˈa7 k a1 n dʒ ii  
ake| ˈeɪ7 k  
akie| ˈeɪ7 k ii  
akira| ɐɐ k ˈiə7 ɹ ə1  
akkerman| ˈa7 k əə m ə1 n  
akram| ˈa7 k ɹ a1 m  
akzonobel| ˈa7 k z ə1 n ˌəʊəʊ b ələl  
al| ˈa7 l  
alaba| ˌa1 l ə1 b ˈa7  
alain| ɐɐ l ˈeɪ7 n  
alaska| ɐɐ l ˈaa s k ə1  
alba| ˈa7 l b ə1  
albanese| ˌɔː1 l b ə1 n ˈiː7 z  
albanese”| ˌɔː1 l b ə1 n ˈiː7 z  
albania| a1 l b ˈeɪ7 n iə1  
albert| ˈa7 l b əə t  
alberta| a1 l b ˈɜː7 t ə1  
alberto| a1 l b ˈɜː7 t əʊəʊ  
albiceleste| ˈa7 l b aɪ1 s l ˌɛ1 s t  
album| ˈa7 l b ə1 m  
albumcủa|ˈaː1  ˈɛ1 l əː2  b ˈe1  ˈu1  ˈɛ1 m əː2  s ˈe1  ˈu4  ˈaː7 
alcantara| ˌa1 l k aa n t ˈɑːɑː ɹ ə1  
alcor| ˈa7 l k əə  
aldehyde| ˈa7 l d ɪ1 h ˌaɪ1 d  
alejandro| ɐɐ l ɪ1 dʒ ˈa7 n d ɹ əʊəʊ  
aleksei| ɐɐ l ˈɛ7 k s eɪ1  
alen| ˈa7 l ɪ1 n  
aleppo| ɐɐ l ˈɛ7 p əʊəʊ  
alessandro| ɐɐ l ɪ1 s ˈa7 n d ɹ əʊəʊ  
aleve| ɐɐ l ˈɛ7 v  
alex| ˈa7 l ɪ1 k s  
alexa| ɐɐ l ˈɛ7 k s ə1  
alexander| ˌa1 l ɪ1 ɡ z ˈaa n d əə  
alexandr| ˌa1 l ɪ1 ɡ z ˈaa n d əə  
alexandra| ˌa1 l ɪ1 ɡ z ˈaa n d ɹ ə1  
alexandre| ˌa1 l ɪ1 ɡ z ˈaa n d əə  
alexey| ɐɐ l ˈɛ7 k s ii  
algeria| a1 l dʒ ˈiə7 ɹ ii  ə1  
ali| ˈɑː7 l ii  
aliassime| ˈa7 l ɪ1  ˌa1 s aɪ1 m  
alibaba| ˌa1 l ɪ1 b ˈɑː7 b ə1  
alice| ˈa7 l ɪ1 s  
alisson| ˈa7 l ɪ1 s ə1 n  
alistair| ˈa7 l ɪ1 s t ˌeə1  
alkaloid| ˈa7 l k ɐɐ l ˌɔɪ1 d  
all| ˈɔː7 l  
allah| ˈa7 l ə1  
allardyce| ˈa7 l ɑːɑː d ˌaɪ1 s  
allegri| ɐɐ l ˈɛ7 ɡ ɹ ii  
alli| ˈa7 l ii  
allianz| ɐɐ l ˈɪ7  a1 n t s  
allicin| ˈa7 l ɪ1 s ˌɪ1 n  
alliin| ˈa7 l ɪ1  ˌɪ1 n  
allison| ˈa7 l ɪ1 s ə1 n  
allister| ˈa7 l ɪ1 s t əə  
allo|(en) ˈa7 l əʊəʊ (vi)
allôallô|(en) a1 l ˈəʊəʊ l əʊəʊ (vi)
almada| ɒ1 l m ˈɑː7 d ə1  
almanack| ˈɒ7 l m ɐɐ n ˌa1 k  
almicar|(en) ˈɒ7 l m ɪ1 k ˌɑːɑː (vi)
alo|(en) ɐɐ l ˈəʊəʊ (vi)
alonso| ɐɐ l ˈɒ7 n s əʊəʊ  
alpha| ˈa7 l f ə1  
alphanam| ˈa7 l f ə1 n ˌɑː1 m  
alphard| ˈa7 l f ə1 ɹ ə1 d  
alrosa| ɔː1 l ɹ ˈəʊəʊ s ə1  
altis| ˈa7 l t ɪ1 z  
altra| ˈɔː7 l t ɹ ə1  
alvarez| ˈa7 l v ə1 ɹ ˌɛ1 z  
alzheimer| ˈa7 l t s aɪ1 m əə  
alê|(en) ɐɐ l ˈeə7 (vi)
amad| ˈa7 m a1 d  
amadou| ˈa7 m ɐɐ d ˌuː1  
amancio| a1 m ˈaa n s ɪ1  ˌəʊəʊ  
amarpreet| ˈa7 m ɑːɑː p ɹ ˌiː1 t  
amata| a1 m ˈɑː7 t ə1  
amazon| ˈa7 m ə1 z ə1 n  
ambani| a1 m b ˈɑː7 n ii  
amber| ˈa7 m b əə  
ambrose| ˈa7 m b ɹ əʊəʊ z  
amc|ˈaː7 m c 
amcham| ˈa7 m tʃ ə1 m  
amd| ˌeɪ1 ˌɛ1 m d ˈiː7  
amee| ˈa7 m iː1  
amelia| ɐɐ m ˈiː7 l iə1  
america| ɐɐ m ˈɛ7 ɹ ɪ1 k ə1  
american| ɐɐ m ˈɛ7 ɹ ɪ1 k ə1 n  
amex| ˈeɪ7 m ɛ1 k s  
amg|ˈaː1  ˈɛ1 m əː2  ð ˈe7 
amh|ˈaː7 m h 
ami|(en) ˈɑː7 m ii (vi)
amidor| ɐɐ m ˈɪ7 d ɔːɔː  
amies|(en) ˈeɪ7 m ii z (vi)
amin| ˈa7 m ɪ1 n  
amiral|(en) ˈa7 m ɜː1 ɹ ələl (vi)
amirul| ˈa7 m ə1 ɹ ˌʌ1 l  
amiăng| ˈa7 m j a1 ŋ  
amkor| ˈa7 m k əə  
ammonia| a1 m ˈəʊəʊ n iə1  
amoiks| ˈa7 m ɔɪ1 k s  
amonia| a1 m ˈɒ7 n iə1  
amor| ˈa7 m əə  
amos| ˈeɪ7 m ɒ1 s  
amou| ˈa7 m uː1  
amour|(en) ɐɐ m ˈʊə7 (vi)
amours|(en) ɐɐ m ˈʊə7 z (vi)
amr| ˈa7 m əə  
amraam| ˈa7 m ɹ ɑː1 m  
ams| a1 m z  
amsterdam| ˈa7 m s t əə d ˌa1 m  
amt|ˈaː7 m t̪ 
amtran| ˈa7 m t ɹ a1 n  
amuses|(en) ɐɐ m j ˈuː7 z ɪ1 z (vi)
amway| ˈa7 m w eɪ1  
amy| ˈeɪ7 m ii  
amylase| ˈa7 m ɪ1 l ˌeɪ1 z  
américa| a1 m ˈeɪ7 ɹ ɪ1 k ə1  
an|ˈaː7 n 
ana| ˈɑː7 n ə1  
anadolu| ˈa7 n ɐɐ d ˌɒ1 l uː1  
anastakis| ˌa1 n aa s t ˈa7 k ii z  
anastasia| ˌa1 n aa s t ˈeɪ7 z iə1  
anatole|(en) ˈa7 n ɐɐ t ˌəʊəʊ l (vi)
anatoly| ˈa7 n ɐɐ t ˌɒ1 l ii  
anbom|(en) ˈa7 n b ə1 m (vi)
ancelotti| ˌa1 n s ɪ1 l ˈɒ7 t ii  
and| a1 n d  
andej| ˈa7 n d ɛ1 dʒ  
ander| ˈa7 n d əə  
anders| ˈa7 n d əə z  
andersen| ˈa7 n d ɜː1 s ə1 n  
anderson| ˈa7 n d əə s ə1 n  
andersson| ˈa7 n d əə s ə1 n  
andes| ˈa7 n d iː1 z  
andre| ˈɒ7 n d ɹ eɪ1  
andrea| ˈa7 n d ɹ iə1  
andreas| ɑː1 n d ɹ ˈeɪ7 ə1 s  
andrei| ˈa7 n d ɹ eɪ1  
andres| ˈɒ7 n d ɹ eɪ1 z  
andrew| ˈa7 n d ɹ uː1  
andrews| ˈa7 n d ɹ uː1 z  
andrewsarchus| ˈa7 n d ɹ uː1 s ˌɑːɑː tʃ ə1 s  
andrey| ˈa7 n d ɹ ii  
andries| ˈa7 n d ɹ ii z  
andrius| ˈa7 n d ɹ ɪ1  ə1 s  
android| ˈa7 n d ɹ ɔɪ1 d  
andromeda| a1 n d ɹ ˈɒ7 m ɪ1 d ə1  
andrushenko| ˌa1 n d ɹ ə1 ʃ ˈɛ7 ŋ k əʊəʊ  
andrzej| ˈa7 n d ə1 z ˌɛ1 dʒ  
andré|(en) a1 n d ɹ ˈeɪ7 (vi)
anduin| ˈa7 n d j uː1 ˌɪ1 n  
andy| ˈa7 n d ii  
anfield| ˈa7 n f iː1 l d  
anfin| ˈa7 n f ɪ1 n  
angel| ˈeɪ7 n dʒ ələl  
angela| ˈa7 n dʒ ə1 l ə1  
angelababy| ˈa7 n dʒ ɪ1 l ˌa1 b eɪ1 b ii  
angeles| ˈa7 n dʒ ə1 l ˌiː1 s  
angelina| ˌa1 n dʒ ɪ1 l ˈiː7 n ə1  
angelo| a1 n dʒ ˈiː7 l əʊəʊ  
angimex| ˈa7 ŋ ɡ aɪ1 m ˌɛ1 k s  
angkanarat| ˈa7 ŋ k ɐɐ n ˌa1 ɹ a1 t  
angkor|(en) ˈa7 ŋ k əə (vi)
anglo| ˈa7 ŋ ɡ l əʊəʊ  
angola| a1 ŋ ɡ ˈəʊəʊ l ə1  
angulo| ˌa1 ŋ ɡ j ˈʊ7 l əʊəʊ  
anh|ˈe-7 ɲ
anhcó|ˈe-7 ɲ k ɔɜ 
anhn|ˈe-7 ɲ n 
anh’|ˈe-7 ɲ 
anh”|ˈe-7 ɲ 
anh…|ˈe-7 ɲ 
anh…”|ˈe-7 ɲ 
anil| ˈa7 n ɪ1 l  
anindya| ˈa7 n ɪ1 n d ɪ1  ə1  
anis|(en) ˈa7 n ɪ1 z (vi)
anish| ˈa7 n ɪ1 ʃ  
anita| ɐɐ n ˈiː7 t ə1  
anjali| a1 n dʒ ˈɑː7 l ii  
ankara| ˈa7 ŋ k ɑːɑː ɹ ə1  
ankara”| ˈa7 ŋ k ɑːɑː ɹ ə1  
anna| ˈa7 n ə1  
annabeth| ˈa7 n ə1 b ə1 θ  
annd| ˈa7 n d  
anne| ˈa7 n  
annette| a1 n ˈɛ7 t  
annie| ˈa7 n ii  
anoush| ˈa7 n aʊ1 ʃ  
ansar| ˈa7 n s ɑːɑː  
ant| ˈa7 n t  
antetokounmpo| ˌa1 n t ɪ1 t ə1 k ˈuː7 n m p əʊəʊ  
anthocyanin| ˈa7 n θ ə1 s ɪ1  ˌa1 n ɪ1 n  
anthony| ˈa7 n t ə1 n ii  
anthropocene| ˌa1 n θ ɹ ə1 p ə1 s ˈiː7 n  
anti| ˈa7 n t ii  
antifan| ˌa1 n t ɪ1 f ˈa7 n  
antoine| ˈa7 n t ɔɪ1 n  
antole|(en) ˈa7 n t əʊəʊ l (vi)
anton| ˈa7 n t ɒ1 n  
antonio| a1 n t ˈəʊəʊ n ɪ1  ˌəʊəʊ  
antonivsky| ˌa1 n t ə1 n ˈɪ7 v s k ii  
antonov| ˈa7 n t ə1 n ˌɒ1 v  
antonovsky| ˌa1 n t ə1 n ˈɒ7 v s k ii  
antony| ˈa7 n t ə1 n ii  
anuar| ˈa7 n j uː1 ˌɑːɑː  
anuko| a1 n j ˈuː7 k əʊəʊ  
anvi| ˈa7 n v ii  
anһ|ˈaː1  ˈɛ1 n əː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe7  
an’|ˈaː7 n 
an”|ˈaː7 n 
ao|ˈaː7 w
aon|ˈaː7 w n
aops| ˈeɪ7 ɒ1 p s  
aozora|ˈaː7 w z ɔ1 z ˌaː1 
ap| ˈa7 p  
apac| ɐɐ p ˈa7 k  
apatit| ˌa1 p ɐɐ t ˈiː7 t  
apax| ɐɐ p ˈa7 k s  
apea| ˈeɪ7 p iə1  
apec| ˈeɪ7 p ɛ1 k  
apg| ˈa7 p ɡ  
apheng|(en) ɐɐ f ˈɛ7 ŋ (vi) 
api| ˌeɪ1 p ˌiː1  ˈaɪ7  
apollo| ɐɐ p ˈɒ7 l əʊəʊ  
app| ˈa7 p  
appeal|(en) ɐɐ p ˈiː7 l (vi)
appel| ɐɐ p ˈɛ7 l  
apple| ˈa7 p ələl  
applied| ɐɐ p l ˈaɪ7 d  
aprilia| eɪ1 p ɹ ˈɪ7 l iə1  
apt| ˈa7 p t  
aqua| ˈa7 k w ə1  
aquacity| a1 k w ˈa7 s ɪ1 t ii  
aquarius| ɐɐ k w ˈeə7 ɹ ɪ1  ə1 s  
ar| ˈɑːɑː  
arab| ˈa7 ɹ ə1 b  
arabia| ə1 ɹ ˈeɪ7 b iə1  
arabica| ə1 ɹ ˈa7 b ɪ1 k ə1  
aramco| a1 ɹ ˈa7 m k əʊəʊ  
arapaima| ˌa1 ɹ ɐɐ p ˈeɪ7 m ə1  
araujo| a1 ɹ ˈɔː7 dʒ əʊəʊ  
arcade| ɑːɑː k ˈeɪ7 d  
architecture| ˈɑːɑː k ɪ1 t ˌɛ1 k tʃ əə  
ardern| ˈɑːɑː d əə n  
ardija| ˈɑːɑː d ɪ1 dʒ ə1  
are| ɑːɑː  
arefi| ˈa7 ɹ ɛ1 f ii  
arema| ˈa7 ɹ ə1 m ə1  
arena| ɐɐ ɹ ˈiː7 n ə1  
arestovich| ˌa1 ɹ ɪ1 s t ˈəʊəʊ v ɪ1 tʃ  
arestovych| ˌa1 ɹ ɪ1 s t ˈəʊəʊ v ɪ1 tʃ  
aretha| a1 ɹ ˈɛ7 θ ə1  
argentina| ˌɑːɑː dʒ ə1 n t ˈiː7 n ə1  
argie| ˈɑːɑː dʒ ii  
argine| ˈɑːɑː dʒ ɪ1 n  
ariana| ˌa1 ɹ ii  ˈɑː7 n ə1  
arias| ˈeə7 ɹ iə1 z  
ariel| ˈa7 ɹ iː1  ələl  
arifin| ˈa7 ɹ ɪ1 f ˌɪ1 n  
arion| ˈa7 ɹ iə1 n  
arisan| ˈa7 ɹ ɪ1 s ə1 n  
arizona| ˌa1 ɹ ɪ1 z ˈəʊəʊ n ə1  
ark| ˈɑːɑː k  
arkadiusz| ɑːɑː k ˈeɪ7 d ɪ1  ə1 s z  
arkham| ˈɑːɑː k ə1 m  
arktich| ˈɑːɑː k t ɪ1 tʃ  
arlington| ˈɑːɑː l ɪ1 ŋ t ə1 n  
armand| ˈɑːɑː m aa n d  
armando| ɑːɑː m ˈa7 n d əʊəʊ  
armani| ɑːɑː m ˈɑː7 n ii  
armas| ˈɑːɑː m ə1 z  
armenia| ɑːɑː m ˈiː7 n iə1  
armormax| ˈɑːɑː m ɔːɔː m ˌa1 k s  
armstrong| ˈɑːɑː m s t ɹ ɒ1 ŋ  
army| ˈɑːɑː m ii  
arnault| ˈɑːɑː n ɒ1 l t  
arnautovic| ˌɑːɑː n ə1 t ˈɒ7 v ɪ1 k  
arnold| ˈɑːɑː n ələl d  
aroma| ɐɐ ɹ ˈəʊəʊ m ə1  
arpan| ˈɑːɑː p a1 n  
arques| ˈɑːɑː k s  
arrivetoujours|(en) ɐɐ ɹ ˈaɪ7 v ɪ1 t ˌaʊ1 dʒ əə z (vi)
arsenal| ˈɑːɑː s ə1 n ələl  
art| ˈɑːɑː t  
artelli| ɑːɑː t ˈɛ7 l ɪ1  
arteta| ˈɑːɑː t ɛ1 t ə1  
arthur| ˈɑːɑː θ əə  
artisan| ˈɑːɑː t ɪ1 s ə1 n  
arunas| a1 ɹ ˈuː7 n ə1 z  
arv| ˈɑːɑː v  
arya| ˈɑːɑː ɹ ɪ1  ə1  
arylic| ɑːɑː ɹ ˈɪ7 l ɪ1 k  
as| a1 z  
asa| ɐɐ s ˈa7  
asano| ɐɐ s ˈɑː7 n əʊəʊ  
asanzo| ɐɐ s ˈa7 n z əʊəʊ  
asart| ɐɐ s ˈɑːɑː t  
asc| ˈa7 s k  
asci| ɐɐ s s ˈaɪ7  
asean| ˈa7 s iə1 n  
asean+| ˈa1 s iə1 n   ɟ ˈəʊɜ k ˈo6 ŋ 
asensio| a1 s ˈɛ7 n s ɪ1  ˌəʊəʊ  
ash| ˈa7 ʃ  
ashley| ˈa7 ʃ l ii  
ashley”| ˈa7 ʃ l ii  
asia| ˈeɪ7 ʃ ə1  
asiad| ɐɐ s ˈɪ7  a1 d  
asian| ˈeɪ7 ʒ ə1 n  
asian…| ˈeɪ7 ʒ ə1 n  
asmawi| ɐɐ s m ˈɑː7 w ɪ1  
asml| ˈa7 z m ələl  
asnawi| a1 z n ˈɑː7 w ɪ1  
aspergillus| ɐɐ s p ˈɜː7 ɡ ɪ1 l ə1 s  
asrophysical| ɐɐ s ɹ ə1 f ˈɪ7 z ɪ1 k ələl  
assange| ɐɐ s ˈa7 n dʒ  
assassin's| ɐɐ s ˈa7 s ɪ1 n z  
asset| ˈa7 s ɛ1 t  
asseztôt|(en) ɐɐ s ˈɛ7 z t ɒ1 t (vi)
assistant| ɐɐ s ˈɪ7 s t ə1 n t  
associates| ɐɐ s ˈəʊəʊ s ɪ1  ˌeɪ1 t s  
astana| ɐɐ s t ˈɑː7 n ə1  
aston| ɐɐ s t ˈɒ7 n  
astoria| ɐɐ s t ˈɔːɔː ɹ iə1  
astra| ˈa7 s t ɹ ə1  
astral| ˈa7 s t ɹ ələl  
astrophysical| ˌa1 s t ɹ ə1 f ˈɪ7 z ɪ1 k ələl  
asus| ˈeɪ7 s ə1 s  
at|(en) a1 t (vi)
atacms| ˈa7 t a1 k ə1 m z  
atalanta| ˌa1 t ɐɐ l ˈa7 n t ə1  
atc| ˈa7 t k  
atc…là| ˈa7 t k  l ˌaː2 
atgt| ˈa7 t ɡ t  
atgt”| ˈa7 t ɡ t  
athabascan| ˌa1 θ ɐɐ b ˈa7 s k ə1 n  
athens| ˈa7 θ ɪ1 n z  
athletic| a1 θ l ˈɛ7 t ɪ1 k  
atiga| ˈa7 t ɪ1 ɡ ə1  
atiso| a1 t ˈaɪ7 z əʊəʊ  
atlanta| ɐɐ t l ˈa7 n t ə1  
atlantic| ɐɐ t l ˈaa n t ɪ1 k  
atlanticus| ɐɐ t l ˈaa n t ɪ1 k ə1 s  
atlas| ˈa7 t l ə1 s  
atletico| ˈa7 t ələl t ɪ1 k ˌəʊəʊ  
atm| ˌeɪ1 t ˌiː1  ˈɛ7 m  
ato| ˈɑː7 t əʊəʊ  
atome| ˈa7 t əʊəʊ m  
atp| ˈa7 t p  
atterbury| ɐɐ t əə b ɹ ii  
attia| ɐɐ t ˈɪ7  ə1  
attiyat| ɐɐ t ˈɪ7 j a1 t  
attp| ˈa7 t p  
atul| ˈa7 t ʌ1 l  
atvslđ| ˈa7 t v s l d  
aubameyang| ˌɔː1 b eɪ1 m j ˈa7 ŋ  
auctions| ˈɔː7 k ʃ ə1 n z  
aud| ˈɔː7 d  
audero| ɔː1 d ˈeə7 ɹ əʊəʊ  
audi|ˈa7 w z i1 
audio| ˈɔː7 d ɪ1  ˌəʊəʊ  
audiophile| ˈɔː7 d ɪ1  ˌəʊəʊ f aɪ1 l  
