&| v ˈɛ
''çılgın''|tʃ ɯ ɫ ɡ ˈɯ n
''şehirlerin|ʃ e h ɪ r l e ɾ ˈɪ n
''şoktayım|ʃ ɔ k t a j ˈɯ m
'a|ˈa
'abd|ˌa b ˌe d ˈɛ
'abd'nin|a b d n ˈɪ n
'aboow|a b o ˈɔ w
'acaba|a dʒ a b ˈa
'acele|ˈa dʒ ɛ l ɛ
'adam'|a d ˈa m
'adaylık'|a d a j ɫ ˈɯ k
'adayınızı|a d ˈa j ɯ n ɯ z ɯ
'adem|a d ˈæ m
'adli|a d l ˈɪ
'afrodit'|a f r o d ˈɪ t
'agd'nin|a ɡ d n ˈɪ n
'ahlak|a h ɫ ˈa k
'ahlaksız'|a h ɫ ˈa k s ɯ z
'ahmak'|a h m ˈa k
'ahmet’e|a h m e t ˈɛ
'ailemize|a i l ˈe m i z ɛ
'ai̇hm’in|a ɪ h m ˈɪ n
'ak|ˈa k
'akp|ˌa k ˌɛ p ˈɛ
'akücü'|a k y dʒ ˈø
'akşam|a k ʃ ˈa m
'al|ˈa ɫ
'alanya|a ɫ a n j ˈa
'aldatma|a ɫ d ˈa t m a
'aldatıldığın|a ɫ d a t ɯ ɫ d ɯɯ ˈɯ n
'alevi'|a l e v ˈɪ
'aleviler'|a l e v i l ˈɛ r
'ali|a l ˈi
'aliço'|a l i tʃ ˈɔ
'allah|a ɫ ɫ ˈa h
'almıyor'|a ɫ m ˈɯ j ɔ r
'alparslan'|a ɫ p a r s ɫ ˈa n
'alper|a ɫ p ˈɛ r
'altyapıdan|a ɫ t j a p ɯ d ˈa n
'altılı|a ɫ t ɯ ɫ ˈɯ
'alâ|a l ˈa
'alışın'|a ɫ ɯ ʃ ˈɯ n
'aman|a m ˈa n
'analar|a n a ɫ ˈa r
'anamla|a n ˈa m ɫ a
'ancak|a n dʒ ˈa k
'ankara'nın|a n k a ɾ a n ˈɯ n
'anket|a n k ˈɛ t
'anket'|a n k ˈɛ t
'anne|a n n ˈɛ
'anneciğim|a n n e dʒ ˈi j ɪ m
'annem|a n n ˈæ m
'annem'|a n n ˈæ m
'anormal'|a n ɔ r m ˈa ɫ
'antika|a n t i k ˈa
'apple|ˈa pː l ɛ
'ara|a ɾ ˈa
'arabanın|a ɾ a b a n ˈɯ n
'arabayı|a ɾ a b a j ˈɯ
'arka|a r k ˈa
'artan|a r t ˈa n
'artey'|a r t ˈɛ j
'artık|a r t ˈɯ k
'arzu|a r z ˈʊ
'arzu'|a r z ˈʊ
'arzın|a r z ˈɯ n
'askere|a s k e ɾ ˈɛ
'askeri|a s k e ɾ ˈɪ
'askerlik|a s k ɛ r l ˈɪ k
'aslanların|a s ɫ a n ɫ a ɾ ˈɯ n
'asılsız'|a s ˈɯ ɫ s ɯ z
'atatürk|a t a t ˈø r k
'atatürk'ün|a t a t ø r k ˈø n
'ateşli|a t ɛ ʃ l ˈɪ
'atina|a t i n ˈa
'avantajlı'|a v a n t a ʒ ɫ ˈɯ
'avrupa|ˈa v r u p a
'avrupa'da|a v r u p a d ˈa
'avrupa'nın|a v r u p a n ˈɯ n
'aya'|a j ˈa
'ayşe|a j ʃ ˈɛ
'az|ˈa z
'azerbaycan'a|a z ɛ r b a j dʒ a n ˈa
'aziz'|ˈa z ɪ z
'açlığa|a tʃ ɫ ɯɯ ˈa
'açık|a tʃ ˈɯ k
'ağabey'|aː b ˈɛ j
'ağabeyimin|aː b e j i m ˈɪ n
'aşk|ˈa ʃ k
'aşırı|a ʃ ɯ ɾ ˈɯ
'baba|b a b ˈa
'babamın|b a b a m ˈɯ n
'bahar|b a h ˈa r
'bahşişli|b a h ʃ ɪ ʃ l ˈɪ
'baki|b a k ˈɪ
'bal|b ˈa ɫ
'balıklı|b a ɫ ɯ k ɫ ˈɯ
'bana|b a n ˈa
'bandırma|b ˈa n d ɯ r m a
'bank'|b ˈa n k
'bankacılık|b a n k a dʒ ɯ ɫ ˈɯ k
'baronlar'ın|b a ɾ ɔ n ɫ a ɾ ˈɯ n
'barış|b a ɾ ˈɯ ʃ
'basın|b a s ˈɯ n
'batı|b a t ˈɯ
'batılı|b a t ɯ ɫ ˈɯ
'bay|b ˈa j
'bayraktar'|b a j r a k t ˈa r
'bazen|b a z ˈæ n
'başarılar'|b a ʃ a ɾ ɯ ɫ ˈa r
'başka|b a ʃ k ˈa
'başkan|b a ʃ k ˈa n
'başkan'|b a ʃ k ˈa n
'başlangıç'|b a ʃ ɫ a n ɡ ˈɯ tʃ
'başörtüsü|b a ʃ œ r t y s ˈø
'başörtüsünü|b a ʃ œ r t y s y n ˈø
'bbc'den|b ˌe b ˌe dʒ ˈɛ d ˈæ n
'beach'|b e ˈa dʒ h
'bektaşi'|b ɛ k t a ʃ ˈɪ
'belediye|b e l e d i j ˈɛ
'belgeler|b æ l ɟ e l ˈɛ r
'belirsiz|b e l ˈɪ r s ɪ z
'belki|b æ l k ˈɪ
'ben|b ˈæ n
'ben'|b ˈæ n
'bendeki|b æ n d e k ˈɪ
'benim|b e n ˈɪ m
'benjamin|b æ n ʒ a m ˈɪ n
'benmişim'|b æ n m ˈi ʃ ɪ m
'beslediğiniz|b ɛ s l e d ˈi j i n ɪ z
'beton|b e t ˈɔ n
'beyaz|b e j ˈa z
'beyin|b e j ˈɪ n
'beynimde|b ˈɛ j n ɪ m d ɛ
'beş|b ˈɛ ʃ
'beşiktaş|b e ʃ ˈɪ k t a ʃ
'beşli|b ɛ ʃ l ˈɪ
'bir|b ˈɪ r
'birden|b ɪ r d ˈæ n
'birilerini|b i ɾ i l e ɾ i n ˈɪ
'birinci|b i ɾ ɪ n dʒ ˈɪ
'birleşik'|b ɪ r l e ʃ ˈɪ k
'birlikte|b ɪ r l ɪ k t ˈɛ
'birçok|b ɪ r tʃ ˈɔ k
'bitti'|b i tː ˈɪ
'biz|b ˈɪ z
'biz'|b ˈɪ z
'bizde|b ɪ z d ˈɛ
'bize|b i z ˈɛ
'bizi|b i z ˈɪ
'bizim|b ˈi z ɪ m
'bizzat|b ɪ z z ˈa t
'bm|b ˌe m ˈɛ
'bmgk'|b ˌe m ˌɛ ɟ ˌɛ k ˈɛ
'bordro|b ɔ r d r ˈɔ
'borsa|b ˈɔ r s a
'borçlanma'|b ɔ r tʃ ɫ ˈa n m a
'boğazlara|b oː a z ɫ a ɾ ˈa
'breakin|b r e a k ˈɪ n
'bu|b ˈʊ
'budur'|b ˈu d ʊ r
'bugün|b u ɡ ˈø n
'bulamaçlı|b u ɫ a m a tʃ ɫ ˈɯ
'buluşmanın|b u ɫ ˈʊ ʃ m a n ɯ n
'bundan|b ʊ n d ˈa n
'bunlar|b ʊ n ɫ ˈa r
'bunlara|b ʊ n ɫ a ɾ ˈa
'bununla|b u n ˈʊ n ɫ a
'burada|b ˈu ɾ a d a
'burak'ın|b u ɾ a k ˈɯ n
'buraya|b ˈu ɾ a j a
'bylock|b j ɫ ˈɔ dʒ k
'bölgede|b œ l ɟ e d ˈɛ
'bölgedeki|b œ l ɟ e d e k ˈɪ
'böyle|b ˈœ j l ɛ
'bücür|b y dʒ ˈø r
'bükreşli|b ø k r ɛ ʃ l ˈɪ
'bütün|b y t ˈø n
'büyük|b y j ˈø k
'cadılar|dʒ a d ɯ ɫ ˈa r
'cahil'|dʒ a h ˈɪ l
'camdaki|dʒ a m d a k ˈɪ
'canavarca|dʒ a n a v a r dʒ ˈa
'cari|dʒ a ɾ ˈɪ
'ceketimi|dʒ e k ˈe t i m ɪ
'ceylin|dʒ ɛ j l ˈɪ n
'cezaevinde|dʒ e z a e v ɪ n d ˈɛ
'cezalandıracağız|dʒ e z a ɫ a n d ɯ ɾ a dʒ ˈaː ɯ z
'cezalandırıldığımız|dʒ e z a ɫ a n d ɯ ɾ ɯ ɫ d ˈɯɯ ɯ m ɯ z
'cezasız'|dʒ e z ˈa s ɯ z
'change'|dʒ h a n ɡ ˈɛ
'chp|dʒ ˌɛ h ˌɛ p ˈɛ
'chp'nin|dʒ ˌɛ h ˌɛ p ˈɛ n ˈɪ n
'chp’li|dʒ ˌɛ h ˌɛ p ˈɛ l ˈɪ
'cinayete|dʒ i n a j e t ˈɛ
'commendatore'|dʒ ɔ m m æ n d a t o ɾ ˈɛ
'cumhur|dʒ ʊ m h ˈʊ r
'cumhurbaşkanlığı|dʒ ʊ m h ʊ r b a ʃ k a n ɫ ɯɯ ˈɯ
'cumhurbaşkanı|dʒ ʊ m h ʊ r b a ʃ k a n ˈɯ
'cumhurbaşkanına|dʒ ʊ m h ʊ r b a ʃ k a n ɯ n ˈa
'cumhuriyeti|dʒ ʊ m h u ɾ i j e t ˈɪ
'da|d ˈa
'daki|d a k ˈɪ
'dan|d ˈa n
'darbeden|d a r b e d ˈæ n
'darp|d ˈa r p
'das|d ˈa s
'de|d ˈɛ
'dedi|d e d ˈɪ
'deepfake'|d e ɛ p f a k ˈɛ
'deki|d e k ˈɪ
'deli|d e l ˈɪ
'delirmemiz|d e l ɪ r m ˈe m ɪ z
'delta|d æ l t ˈa
'demet|d e m ˈɛ t
'demokrasi|d e m ɔ k r a s ˈɪ
'den|d ˈæ n
'dertsiz|d ˈɛ r t s ɪ z
'destek'|d ɛ s t ˈɛ k
'devlet|d ɛ v l ˈɛ t
'devletin|d ɛ v l e t ˈɪ n
'dezenformasyon'|d e z æ n f ɔ r m a s j ˈɔ n
'dezenformasyonla|d e z æ n f ɔ r m a s j ˈɔ n ɫ a
'değiştiğini|d e j ɪ ʃ t i j i n ˈɪ
'diktatör'|d ɪ k t a t ˈœ r
'dilek|d i l ˈɛ k
'dilimden|d ˈi l ɪ m d æ n
'din|d ˈɪ n
'dini|d i n ˈɪ
'direnç’|d i ɾ ˈæ n tʃ
'diyarbakır|d i j a r b a k ˈɯ r
'doktor|d ɔ k t ˈɔ r
'dost|d ˈɔ s t
'doğalgaz|d oː a ɫ ɡ ˈa z
'dpr'nin|d ˌɛ p ˌɛ ɾ ˈɛ n ˈɪ n
'drone'lar|d r o n e ɫ ˈa r
'dualarınızı|d u a ɫ ˈa ɾ ɯ n ɯ z ɯ
'dur|d ˈʊ r
'duydunuz|d ʊ j d u n ˈʊ z
'dünya|d ø n j ˈa
'dünya'nın|d ø n j a n ˈɯ n
'dünyanın|d ø n j a n ˈɯ n
'dürüst|d y ɾ ˈø s t
'düzensiz|d y z ˈæ n s ɪ z
'düğmeye|d ˈyː m e j ɛ
'düğün|d ˈøː n
'düşme'|d ˈø ʃ m ɛ
'düşünelim'|d y ʃ y n e l ˈɪ m
'e|ˈɛ
'edepli|e d ɛ p l ˈɪ
'ek|ˈɛ k
'ekmek|ɛ k m ˈɛ k
'eko|e k ˈɔ
'ekonomi|e k o n o m ˈɪ
'ekonomik|e k o n o m ˈɪ k
'el|ˈæ l
'elimizdeki|e l i m ɪ z d e k ˈɪ
'emek|e m ˈɛ k
'emeklilikte|e m ɛ k l i l ɪ k t ˈɛ
'emine|e m i n ˈɛ
'emine'|e m i n ˈɛ
'emmanuel|æ m m a n u ˈæ l
'en|ˈæ n
'endişeler'|æ n d i ʃ e l ˈɛ r
'enerji|e n ɛ r ʒ ˈɪ
'enflasyonla|æ n f ɫ a s j ˈɔ n ɫ a
'engelliler|æ n ɟ æ l l i l ˈɛ r
'erdoğan|ɛ r d oː ˈa n
'erminli|ɛ r m ɪ n l ˈɪ
'esra|ɛ s r ˈa
'evde|ɛ v d ˈɛ
'evet|e v ˈɛ t
'evet'|e v ˈɛ t
'evi|e v ˈɪ
'evin|e v ˈɪ n
'evli|ɛ v l ˈɪ
'ex'miş|ɛ k s m ˈɪ ʃ
'eyt|ˈɛ j t
'ezgi|ɛ z ɡ ˈɪ
'eğer|e j ˈɛ r
'eğitim|e j ˈi t ɪ m
'eşitlik|e ʃ ɪ t l ˈɪ k
'eşsiz|ˈɛ ʃ s ɪ z
'fabrika|f a b r i k ˈa
'fabrikada|f a b r i k a d ˈa
'farklı|f a r k ɫ ˈɯ
'felaket|f e ɫ a k ˈɛ t
'felek'|f e l ˈɛ k
'felsefelerini|f æ l s e f e l e ɾ i n ˈɪ
'felç|f ˈæ l tʃ
'ferit'|f e ɾ ˈɪ t
'fetö|f e t ˈœ
'fetö'|f e t ˈœ
'fikir|f i k ˈɪ r
'fincancı'|f ɪ n dʒ a n dʒ ˈɯ
'fireix|f i ɾ e ˈɪ k s
'flashmob'|f ɫ a s h m ˈɔ b
'fourth|f o ˈʊ r t h
'fransa'da|f r a n s a d ˈa
'fırça|f ɯ r tʃ ˈa
'gazeteci'|ɡ a z e t e dʒ ˈɪ
'gedefi|ɟ e d e f ˈɪ
'gel|ɟ ˈæ l
'geleceğin|ɟ e l e dʒ e j ˈɪ n
'gelin|ɟ e l ˈɪ n
'gelir|ɟ e l ˈɪ r
'gemlik|ɟ æ m l ˈɪ k
'genel|ɟ e n ˈæ l
'gençliğimi|ɟ æ n tʃ l ˈi j i m ɪ
'gerdanlık'|ɟ ɛ r d a n ɫ ˈɯ k
'gerek|ɟ e ɾ ˈɛ k
'gerektiğinde|ɟ e ɾ ɛ k t i j ɪ n d ˈɛ
'geri|ɟ e ɾ ˈɪ
'gerilimin|ɟ e ɾ ˈi l i m ɪ n
'gerçek|ɟ ɛ r tʃ ˈɛ k
'gerçekte|ɟ ɛ r tʃ ɛ k t ˈɛ
'gerçekten|ɟ ɛ r tʃ ɛ k t ˈæ n
'gezi|ɟ e z ˈɪ
'gezi'nin|ɟ e z i n ˈɪ n
'geçen|ɟ e tʃ ˈæ n
'geçici'|ɟ e tʃ i dʒ ˈɪ
'geçinemiyoruz'|ɟ e tʃ i n e m ˈi j o ɾ ʊ z
'geçmiş|ɟ ɛ tʃ m ˈɪ ʃ
'geççek'|ɟ e tʃː ˈɛ k
'giderek|ɟ i d e ɾ ˈɛ k
'git|ɟ ˈɪ t
'gizli|ɟ ɪ z l ˈɪ
'gizli'|ɟ ɪ z l ˈɪ
'glory'|ɡ ɫ ˈɔ r j
'grevdeyiz|ɡ r ɛ v d ˈe j ɪ z
'gök|ɟ ˈœ k
'gölalan|ɟ œ ɫ a ɫ ˈa n
'gördüğü|ɟ œ r d ˈøː
'görevi|ɟ œ ɾ e v ˈɪ
'gözlerimdeki|ɟ œ z l e ɾ ɪ m d e k ˈɪ
'güle|ɟ ˈy l ɛ
'gülümserken'|ɟ y l ø m s ˈɛ r c æ n
'gün|ɟ ˈø n
'günlük|ɟ ø n l ˈø k
'güzel|ɟ y z ˈæ l
'güçlendirilmiş|ɟ ø tʃ l æ n d i ɾ ɪ l m ˈɪ ʃ
'gıdada|ɡ ɯ d a d ˈa
'haberim|h a b ˈe ɾ ɪ m
'haftanın|h a f t a n ˈɯ n
'haftaya|h a f t a j ˈa
'hak|h ˈa k
'hakaret'|h a k a ɾ ˈɛ t
'hakkını|h a kː ɯ n ˈɯ
'haklıymışız'|h a k ɫ ɯ j m ˈɯ ʃ ɯ z
'halk|h ˈa ɫ k
'halktan|h a ɫ k t ˈa n
'halkı|h a ɫ k ˈɯ
'halkın|h a ɫ k ˈɯ n
'hamur|h a m ˈʊ r
'hanımlar|h ˈa n ɯ m ɫ a r
'hapis'|h a p ˈɪ s
'hasan'|h ˈa s a n
'hasan'ı|h a s a n ˈɯ
'hasarın|h a s a ɾ ˈɯ n
'hassas|h a s s ˈa s
'hassasiyetler'|h a s s a s i j ɛ t l ˈɛ r
'hastane|h a s t a n ˈɛ
'hava|h a v ˈa
'hay|h ˈa j
'hayalet|h a j a l ˈɛ t
'hayat|h a j ˈa t
'hayati|h a j a t ˈɪ
'hayatta|h a j a tː ˈa
'hayatımın|h a j ˈa t ɯ m ɯ n
'hayranım|h a j r ˈa n ɯ m
'hayır|h a j ˈɯ r
'hayır'|h a j ˈɯ r
'haşan|h a ʃ ˈa n
'haşan'|h a ʃ ˈa n
'hdp'nin|h ˌɛ d ˌɛ p ˈɛ n ˈɪ n
'hedef|h e d ˈɛ f
'hediyem|h e d i j ˈæ m
'hef'|h ˈɛ f
'helalleşme'|h e ɫ a ɫ l ˈɛ ʃ m ɛ
'helikopterin|h e l i k ɔ p t e ɾ ˈɪ n
'hemşire'|h æ m ʃ i ɾ ˈɛ
'hep|h ˈɛ p
'her|h ˈɛ r
'hesaplarınızı|h e s a p ɫ ˈa ɾ ɯ n ɯ z ɯ
'hgs|h ˌɛ ɟ ˌɛ s ˈɛ
'hidrofil|h ɪ d r o f ˈɪ l
'himmet|h ɪ m m ˈɛ t
'hitler|h ˈɪ t l ɛ r
'hiçbir|h ɪ tʃ b ˈɪ r
'hiçbirini|h ɪ tʃ b i ɾ i n ˈɪ
'hodri|h ɔ d r ˈɪ
'hollywood|h ɔ ɫ l j w o ˈɔ d
'homisid'|h o m i s ˈɪ d
'hükümet|h y k y m ˈɛ t
'i|ˈi
'ihanet'|i h a n ˈɛ t
'ihmalkârlık'|ɪ h m a ɫ k a r ɫ ˈɯ k
'iki|i k ˈɪ
'ikinci|i k ɪ n dʒ ˈɪ
'ilaçlı|i ɫ a tʃ ɫ ˈɯ
'ilk|ˈɪ l k
'imam|i m ˈa m
'in|ˈɪ n
'international|ɪ n t ɛ r n a t i o n ˈa ɫ
'inşallah|ɪ n ʃ a ɫ ɫ ˈa h
'irticai'|ɪ r t i dʒ a ˈɪ
'istifası'|ɪ s t i f a s ˈɯ
'izmit'|ɪ z m ˈɪ t
'iç|ˈɪ tʃ
'işlek'|ɪ ʃ l ˈɛ k
'i̇bb'deki|ɪ bː d e k ˈɪ
'i̇ftarda|ɪ f t a r d ˈa
'i̇ftira|ɪ f t i ɾ ˈa
'i̇ki|i k ˈɪ
'i̇kinizi|ˈi k i n i z ɪ
'i̇kram|ɪ k r ˈa m
'i̇ktidardan|ɪ k t i d a r d ˈa n
'i̇laç|i ɫ ˈa tʃ
'i̇lgili|ɪ l ɟ i l ˈɪ
'i̇lim|ˈi l ɪ m
'i̇lişkide|i l ɪ ʃ k i d ˈɛ
'i̇lk|ˈɪ l k
'i̇mparatorluk|ɪ m p a ɾ a t ɔ r ɫ ˈʊ k
'i̇mralı|ˈɪ m r a ɫ ɯ
'i̇nnâ|ɪ n n ˈa
'i̇nsansız|ɪ n s ˈa n s ɯ z
'i̇ntikam|ɪ n t i k ˈa m
'i̇nşaat|ɪ n ʃ a ˈa t
'i̇nşallah|ɪ n ʃ a ɫ ɫ ˈa h
'i̇nşallah'|ɪ n ʃ a ɫ ɫ ˈa h
'i̇pe|i p ˈɛ
'i̇ran'a|i ɾ a n ˈa
'i̇ran'ın|i ɾ a n ˈɯ n
'i̇slam|ɪ s ɫ ˈa m
'i̇srail|ɪ s r a ˈɪ l
'i̇srail'in|ɪ s r a i l ˈɪ n
'i̇stanbul|ɪ s t a n b ˈʊ ɫ
'i̇stanbul’u|ɪ s t a n b u ɫ ˈʊ
'i̇stifa|ɪ s t i f ˈa
'i̇talya'da|i t a ɫ j a d ˈa
'i̇ttifak|i tː i f ˈa k
'i̇yi|i j ˈɪ
'i̇yi̇|i j ˈɪ
'i̇çimizdeki|i tʃ i m ɪ z d e k ˈɪ
'i̇çinde|i tʃ ɪ n d ˈɛ
'i̇çişleri|i tʃ ɪ ʃ l e ɾ ˈɪ
'i̇ş|ˈɪ ʃ
'i̇şgal'|ɪ ʃ ɡ ˈa ɫ
'i̇şi|i ʃ ˈɪ
'i̇şlemeyen|ɪ ʃ l e m e j ˈæ n
'i̇şte|ɪ ʃ t ˈɛ
'i̇şyerinin|ɪ ʃ j e ɾ i n ˈɪ n
'kadim|k a d ˈɪ m
'kadir|k ˈa d ɪ r
'kahvesiz|k a h v ˈe s ɪ z
'kalabalığa|k a ɫ a b a ɫ ɯɯ ˈa
'kalkın|k a ɫ k ˈɯ n
'kamera|k a m e ɾ ˈa
'kamu|k a m ˈʊ
'kanal|k a n ˈa ɫ
'kandil'|k a n d ˈɪ l
'kapalı|k a p a ɫ ˈɯ
'kapsamlı|k ˈa p s a m ɫ ɯ
'kapıdan|k a p ɯ d ˈa n
'kapılar|k a p ɯ ɫ ˈa r
'kapının'|k a p ɯ n ˈɯ n
'kar|k ˈa r
'kara|k a ɾ ˈa
'karadeniz|k a ɾ a d ˈe n ɪ z
'karasu'da|k a ɾ a s u d ˈa
'karayip|k a ɾ a j ˈɪ p
'kardelenler'|k a r d e l æ n l ˈɛ r
'karder'|k a r d ˈɛ r
'karşımıza|k a r ʃ ˈɯ m ɯ z a
'kastamonu'ya|k a s t a m o n u j ˈa
'kasten|k a s t ˈæ n
'katar|k a t ˈa r
'katarsis'|k a t a r s ˈɪ s
'katil'|k a t ˈɪ l
'katliamı|k a t l i a m ˈɯ
'kavga'|k a v ɡ ˈa
'kavuşmak|k a v ʊ ʃ m ˈa k
'kayalıklar|k a j a ɫ ɯ k ɫ ˈa r
'kaygı'|k a j ɡ ˈɯ
'kaynağı|k a j n aː ˈɯ
'kayseri|k ˈa j s e ɾ ɪ
'kayseri'de|k a j s e ɾ i d ˈɛ
'kayıt|k a j ˈɯ t
'kazadır|k a z ˈa d ɯ r
'kazandınız'|k a z a n d ɯ n ˈɯ z
'kemirgenlerle|k e m ɪ r ɟ æ n l ˈɛ r l ɛ
'kendal|k æ n d ˈa ɫ
'kendi|k æ n d ˈɪ
'kendini|k æ n d i n ˈɪ
'kendisi|k æ n d i s ˈɪ
'kesin|k e s ˈɪ n
'kesinlikle|k e s ɪ n l ˈɪ k l ɛ
'kesob'a|k e s o b ˈa
'kim|k ˈɪ m
'kimdir|k ˈɪ m d ɪ r
'kime|k ˈi m ɛ
'kimi|k i m ˈɪ
'kimmikka'|k ɪ m m i kː ˈa
'kimyasal|k ɪ m j a s ˈa ɫ
'kişilik|k i ʃ i l ˈɪ k
'kktc|k ˌɛ k ˌɛ t ˌɛ dʒ ˈɛ
'kmn'nin|k ˌɛ m ˌɛ n ˈɛ n ˈɪ n
'kobani|k o b a n ˈɪ
'kobi̇’ler'|k o b ˈɪ   l ˈɛ r
'kocaeli|k o dʒ ˈɛ j l ɪ
'kocaeli'|k o dʒ ˈɛ j l ɪ
'kocaeli’de|k o dʒ a e l i d ˈɛ
'kokolitofor'|k o k o l i t o f ˈɔ r
'koku|k o k ˈʊ
'komünist|k o m y n ˈɪ s t
'konutu|k o n u t ˈʊ
'konvoy|k ɔ n v ˈɔ j
'kredi|k r e d ˈɪ
'kritik|k r i t ˈɪ k
'kullandığın|k ʊ ɫ ɫ a n d ɯɯ ˈɯ n
'kullanıcı|k ʊ ɫ ɫ a n ɯ dʒ ˈɯ
'kur|k ˈʊ r
'kurabiye|k u ɾ a b i j ˈɛ
'kurdele|k ʊ r d ˈe l ɛ
'kurtar'|k ʊ r t ˈa r
'kusura|k u s u ɾ ˈa
'kutsal|k ʊ t s ˈa ɫ
'kyk|k j k
'köken|k ˈœ c æ n
'kökünü|k œ k y n ˈø
'körle|k ˈœ r l ɛ
'kürdistan|k ø r d ɪ s t ˈa n
'küresel|k y ɾ e s ˈæ l
'kürt|k ˈø r t
'kürt'|k ˈø r t
'küçük|k y tʃ ˈø k
'küçükbaş|k y tʃ ø k b ˈa ʃ
'kılıçdaroğlu|k ɯ ɫ ɯ tʃ d a ɾ oː ɫ ˈʊ
'kırk|k ˈɯ r k
'kırmızı|k ˈɯ r m ɯ z ɯ
'kısacık|k ɯ s a dʒ ˈɯ k
'kıyamet|k ɯ j a m ˈɛ t
'kızlarım|k ɯ z ɫ ˈa ɾ ɯ m
'kızın|k ɯ z ˈɯ n
'kış|k ˈɯ ʃ
