&| ˈɔ k
abildgaard|ˈɑː b ɪ l d ɡ ˌa a r d
abilita|ˈɑː b iː l ˌiː t a
abinader|ˈɑː b iː n ˌa d ə r
abiy|ˈɑː b iː  ˌyː
abloh|ˈa b l uː h
abloy|ˈa b l uː ˌyː
abloys|ˈa b l uː ˌyː s
abolitionister|ˌa b uː l iː sx ˈoː n ɪ s t ə r
abols|ˈa b ɔ l s
abonnemangskortet|ˈa b ʊ n ə m ˌa ŋ s k ɔ t ə t
abonnemangskostnad|ˈa b ʊ n ə m ˌa ŋ s k ɔ s t n ˌa d
abonnemangssiffror|ˈa b ʊ n ə m ˌa ŋ s ɪ f r ˌuː r
abonnenterna|ˈa b ʊ n ˌɛ n t ə r n ˌa
abonnerad|ˈa b ʊ n ˌeː r a d
abonnerade|ˈa b ʊ n ˌeː r a d ə
aboriginernas|ˌa b uː r iː ɡ ˈiː n ə r n ˌa s
abort|ˈa b ɔ t
abortbeslut|ˈa b ɔ t b ə s l ˌʉ t
aborten|ˈa b ɔ t ə n
aborter|ˈa b ɔ t ə r
aborterna|ˈa b ɔ t ˌɛ r n a
aborter”|ˈa b ɔ t ə r
abortfrågan|ˈa b ɔ t f r ˌoː ɡ a n
abortförbud|ˌa b ɔ t f ˈœ r b ʉ d
abortförespråkare|ˈa b ɔ t f ˌøː r ə s p r ˌoː k a r ə
abortlagstiftning|ˈa b ɔ t l ˌɑː ɡ s t ɪ f t n ˌɪ ŋ
abortlagstiftningen|ˈa b ɔ t l ˌɑː ɡ s t ɪ f t n ˌɪ ŋ ə n
abortmotståndarna|ˌa b ɔ t m ˈuː t s t oː n d ˌa r n a
abortpiller|ˈa b ɔ t p ˌɪ l ə r
aborträtten|ˈa b ɔ t r ˌɛ tː ə n
aborttalen|ˈa b ɔ tː ˌa l ə n
abortärenden|ˌa b ɔ t ˈɛː r ə n d ə n
aboulmagd|ˈa b uː ˌɵ l m a ɡ d
aboutaleb|ˈa b uː ˌʉ t a l ə b
abouts|ˈa b uː ˌʉ t s
abra|ˈa b r a
abraham|ˈa b r a h ˌa m
abrahamsson|ˈa b r a h ˌa m s ɔ n
abrahamssons|ˈa b r a h ˌa m s ɔ n s
abramovich|ˈa b r a m ˌuː v ɪ ʃ
abramovitj|ˈa b r a m ˌuː v ɪ ɕ
abramovitjs|ˈa b r a m ˌuː v ɪ ɕ s
abrams|ˈa b r a m s
absolent|ˈa b s uː l ˌɛ n t
absolut|ˈa b s uː l ˌʉ t
absoluta|ˈa b s uː l ˌʉ t a
absorberad|a b s ˈɔ r b ə r ˌa d
absorberade|a b s ˈɔ r b ə r ˌa d ə
absorberar|a b s ˈɔ r b ə r ˌa r
absorptionsförmåga|a b s ˈɔ r p sx ˈʊ n s f ˈœ r m oː ɡ ˌa
abstinemndssymtomet|ˈa b s t iː n ˌɛ m n d s y m t ˌɔ m ə t
abstinensplågor|a b s t ˈiː n ə n s p l ˈoː ɡ ʊ r
abstinenssymtomet|a b s t ˈiː n ə n s ˌy m t ɔ m ə t
abstraherade|ˈa b s t r a h ə r ˌa d ə
abstrakta|ˈa b s t r a k t ˌa
abstrakter|ˈa b s t r a k t ə r
absurda|ˈa b s ɵ r d ˌa
absurdare|ˈa b s ɵ r d ˌa r ə
absurdistiska|ˈa b s ɵ r d ˌɪ s t ɪ s k ˌa
absurt|ˈa b s ɵ t
abu|ˈɑː b ʉ
abya|ˈɑː b yː ˌa
abyan|ˈɑː b yː ˌa n
ac|ˈɑː k
academedia|ˈɑː k a d ə m ə d ˌiː  a
acaibowl|ˈɑː k a ˌiː b ɔ v l
acar|ˈɑː k a r
acatblis|ˈɑː k a t b l ˌiː s
acc|ˈa k s
acceleration|ˌa k s ə l ˌeː r a sx ˈuː n
accelerationen|ˌa k s ə l ˌeː r a sx ˈuː n ə n
accelerator|ˈa k s ə l ˌeː r a t ˌɔ r
accelererade|ˈa k s ə l ə r ˌeː r a d ə
accelererades|ˈa k s ə l ə r ˌeː r a d ə s
accelererande|ˈa k s ə l ə r ˌeː r a n d ə
accelererat|ˈa k s ə l ə r ˌeː r a t
accentmöbler|ˌa k s ə n t m ˈœ b l ə r
acceptabelt|ˈa k s ə p t ˌa b ə l t
acceptabel”|ˈa k s ə p t ˌa b ə l
acceptabla|ˈa k s ə p t ˌa b l a
acceptans|ˌa k s ə p t ˈa n s
acceptansen|ˈa k s ə p t ˌa n s ə n
acceptera|ˈa k s ə p t ˌeː r a
accepterad|ˈa k s ə p t ˌeː r a d
accepterade|ˈa k s ə p t ˌeː r a d ə
accepterades|ˈa k s ə p t ˌeː r a d ə s
accepterande|ˈa k s ə p t ˌeː r a n d ə
accepterar|ˈa k s ə p t ˌeː r a r
accepteras|ˈa k s ə p t ˌeː r a s
accepterat|ˈa k s ə p t ˌeː r a t
accepto|ˈa k s ə p t ˌuː
accessoarer|ˈa k s ə s ˌuː a r ə r
accounting|ˈa k s uː ˌɵ n t ɪ ŋ
accountors|ˈa k s uː ˌɵ n t ɔ ʂ
acea|ˈɑː s ə ˌa
aceh|ˈɑː s ə h
acevedo|ˈɑː s ə v ə d ˌuː
achmetov|ˈa ʃ m ə t ˌuː v
ackermann|ˈa kː ə r m ˌa n
ackes|ˈa kː ə s
acklimatisera|ˈa k l iː m ˌa t ɪ s ˌeː r a
acko|ˈa kː uː
ackommodera|ˈa kː ɔ m ˌuː d eː r ˌa
ackompanjerade|ˈa kː ɔ m p ˌa n j ə r ˌa d ə
ackompanjerades|ˈa kː ɔ m p ˌa n j ə r ˌa d ə s
ackorden|ˈa kː oː r d ə n
ackordet|ˈa kː uː r d ə t
ackusativ|ˈa kː ʉ s a t ˌiː v
acquapendente|ˈa k k w a p ˌɛ n d ə n t ˌɛ
acquisition|ˌa k k w iː s ɪ sx ˈuː n
acrinova|ˈa k r iː n ˌuː v a
acrylplyschers|ˈa k r y l p l ˌy ʃ ə ʂ
act|ˈa k t
actinvest|ˈa k t ɪ n v ˌɛ s t
action|a k sx ˈuː n
actionfilm|a k sx ˈɔ n f ɪ l m
actionhjälte|a k sx ˈɔ n j ɛː l t ˌɛ
actionscenerna|a k sx ˈʊ n s s ə n ˌɛ r n a
actionspel|a k sx ˈʊ n s p eː l
actionthriller|a k sx ˈɔ n t h r ɪ l ə r
active|ˈa k t iː v ə
activision|ˌa k t iː v iː sx ˈuː n
actually|ˈa k t ʉ ˌa l yː
actually”|ˈa k t ʉ ˌa l yː
ad|ˈɑː d
ada|ˈɑː d a
adaktusson|ˈɑː d a k t ˌɵ s ɔ n
adaktussons|ˈɑː d a k t ˌɵ s ɔ n s
adalberths|ˈɑː d a l b ə t h s
adam|ˈɑː d a m
adamos|ˈɑː d a m ˌuː s
adams|ˈɑː d a m s
adamson|ˈɑː d a m s ˌuː n
adamsson|ˈɑː d a m s ˌɔ n
adam”|ˈɑː d a m
adaptiva|ˈɑː d a p t ˌiː v a
adaptivt|ˈɑː d a p t ˌɪ v t
adblue|ˈa d b l ʉ ə
addar|ˈa d a r
addenbrooke|ˈa d ə n b r ˌuː uː k ə
adderas|ˈa d eː r ˌa s
addis|ˈa d iː s
ade|ˈa d ə
adecco|ˈa d ə k s ˌuː
adelaide|ˈa d ə l ˌa iː d ə
adelbris|ˈa d ə l b r ˌiː s
adele|ˈa d ə l ə
adeln|ˈa d eː l n
adelns|ˈa d eː l n s
adelsmannen|ˈa d eː l s m ˌa n ə n
adelöv|ˈa d ə l ˌøː v
adem|ˈa d ə m
adenauer|ˈa d ə n ˌa ʉ ə r
adens|ˈa d ə n s
adf|ˈa d f
adhanom|ˈa d h a n ˌɔ m
adhd|ˈa d h d
adidas|ˈɑː d iː d ˌa s
adielsson|ˈɑː d iː  ˌɛ l s ɔ n
adige|ˈɑː d iː j ə
adikvat|ˈɑː d ɪ k v ˌa t
aditros|ˈɑː d ɪ t r ˌuː s
aditya|ˈɑː d iː t ˌyː a
adjektiv|ˈa d j ə k t ˌiː v
adjungerad|a j ˈɵ ŋ eː r ˌa d
adjö|ˈa d j øː
adl|ˈa d l
adlercreutz|ˈa d l ə r k r ə ˌɵ t s
adlersson|ˈa d l ə ʂ ˌɔ n
adligt|ˈa d l ɪ k t
administrationen|ˌa d m iː n ˌɪ s t r a sx ˈuː n ə n
administrationens|ˌa d m iː n ˌɪ s t r a sx ˈuː n ə n s
administrationer|ˌa d m iː n ˌɪ s t r a sx ˈuː n ə r
administrationskolosser|ˌa d m iː n ˌɪ s t r a sx ˈʊ n s k uː l ˌɔ s ə r
administrativa|ˈa d m iː n ˌɪ s t r a t ˌiː v a
administrativt|ˈa d m iː n ˌɪ s t r a t ˌɪ v t
administratören|ˈa d m iː n ˌɪ s t r a t ˌøː r ə n
administratörer|ˈa d m iː n ˌɪ s t r a t ˌøː r ə r
administrerades|ˈa d m iː n ˌɪ s t r eː r ˌa d ə s
administreras|ˈa d m iː n ˌɪ s t r eː r ˌa s
adnan|ˈa d n a n
adolf|ˈɑː d ɔ l f
adolf_andersohnsgatan|ˈɑː d ɔ l f ˈa n d ə ʂ ˌɔ h n s ɡ ɑː t ˌa n
adolfs|ˈɑː d ɔ l f s
adolfsson|ˈɑː d ɔ l f s ˌɔ n
adolfssons|ˈɑː d ɔ l f s ˌɔ n s
adolphson|ˈɑː d ɔ l p h s ˌuː n
adoptera|ˈɑː d ɔ p t ˌeː r a
adopterade|ˈɑː d ɔ p t ˌeː r a d ə
adppa|ˈa d p a
adreian|ˈa d r ə ˌiː  a n
adrenalin|ˈa d r ə n ˌa l ɪ n
adrenalinet|ˈa d r ə n ˌa l ɪ n ə t
adrenalinkick|ˈa d r ə n ˌa l ɪ ŋ k ˌɪ k
adrenalinkickar|ˈa d r ə n ˌa l ɪ ŋ k ˌɪ kː a r
adress|ˈa d r ə s
adressaten|ˈa d r ə s ˌa t ə n
adressen|ˈa d r ə s ə n
adresser|ˈa d r ə s ə r
adresserad|ˈa d r ə s ˌeː r a d
adrian|ˈa d r iː  ˌa n
adriana|ˈa d r iː  ˌa n a
adrianafallet|ˈa d r iː  ˌa n a f ˌa l ə t
adrianas|ˈa d r iː  ˌa n a s
advanced|ˈa d v a n s ə d
advancement|ˈa d v a n s ə m ˌɛ n t
advent|ˈa d v ə n t
adventskyrkan|ˈa d v ə n t sx ˌy r k a n
adventsmysa|ˈa d v ə n t s m ˌyː s a
adviser|ˈa d v iː s ə r
advisor|ˈa d v iː s ˌɔ r
advokat|ˈa d v uː k ˌa t
advokatbyråer|ˈa d v uː k ˌa t b yː r ˌoː ə r
advokatbyråerna|ˈa d v uː k ˌa t b yː r ˌoː ə r n ˌa
advokaten|ˈa d v uː k ˌa t ə n
advokatens|ˈa d v uː k ˌa t ə n s
advokater|ˈa d v uː k ˌa t ə r
advokaterna|ˈa d v uː k ˌa t ə r n ˌa
advokats|ˈa d v uː k ˌa t s
advokatsamfundet|ˈa d v uː k ˌa t s a m f ˌɵ n d ə t
advokatyrket|ˈa d v uː k ˌa t y r k ə t
advox|ˈa d v uː k s
adèle|ˈa d ə l ə
aedas|ˈɑː ə d ˌa s
aegons|ˈɑː ə ɡ ˌɔ n s
aek|ˈɑː ə k
aemet|ˈɑː ə m ə t
aena|ˈɑː ə n ˌa
aero|ˈɑː ə r ˌuː
aerodynamiken|ˈɑː ə r ˌuː d yː n ˌa m iː k ə n
aerodynamiskt|ˈɑː ə r ˌuː d yː n ˌa m ɪ s k t
aeroflot|ˈɑː ə r ˌɔ f l uː t
aerospace|ˈɑː ə r ˌɔ s p a s ə
aerovägen|ˈɑː ə r ˌuː v ɛː ɡ ə n
aerowash|ˈɑː ə r ˌuː v a s h
aeternum|ˈɑː ə t ˌɛ r n ʉ m
af|ˈɑː f
afa|ˈɑː f a
afc|ˈa f k
afd|ˈa f d
affan|ˈa f a n
affichegudinna|ˈa f ɪ ʃ ə ɡ ˌʉ d ɪ n ˌa
affichering|ˈa f ɪ ʃ ˌeː r ɪ ŋ
affinity|ˈa f iː n ˌiː t yː
affisch|ˈa f ɪ ʃ
affischen|ˈa f ɪ ʃ ə n
affischering|ˈa f ɪ ʃ ˌeː r ɪ ŋ
affischgudinna|ˈa f ɪ ʃ ɡ ˌʉ d ɪ n ˌa
affischnamn|ˈa f ɪ ʃ n ˌa m n
affischnamnen|ˈa f ɪ ʃ n ˌa m n ə n
affischtavlor|ˈa f ɪ ʃ t ˌa v l uː r
affär|a f ˈɛː r
affären|a f ˈɛː r ə n
affärens|a f ˈɛː r ə n s
affärer|a f ˈɛː r ə r
affärerna|a f ˈɛː r ə r n ˌa
affärers|a f ˈɛː r ə ʂ
affärs|a f ˈɛː ʂ
affärsbankerna|a f ˈɛː ʂ b a ŋ k ˌɛ r n a
affärsbankernas|a f ˈɛː ʂ b a ŋ k ˌɛ r n a s
affärsbekanta|a f ˈɛː ʂ b ə k ˌa n t a
affärscentrum|a f ˈɛː ʂ s ə n t r ˌɵː m
affärshemligheter|a f ˈɛː ʂ h ə m l ˌɪ ɡ h eː t ə r
affärshändelse|a f ˈɛː ʂ h ə n d ə l s ə
affärsidkare|a f ˈɛː ʂ ɪ d k ˌa r ə
affärsidé|a f ˈɛː ʂ iː d ˈeː
affärsidéer|a f ˈɛː ʂ iː d ˈeː ə r
affärsidén|a f ˈɛː ʂ iː d ˈeː n
affärsimperium|a f ˈɛː ʂ ɪ m p ˌɛ r iː  ˌʉ m
affärsintresse|a f ˈɛː ʂ ɪ n t r ˌɛ s ə
affärsjuridik|a f ˈɛː ʂ j ʉ r ˌiː d iː k
affärsjuridisk|a f ˈɛː ʂ j ʉ r ˌiː d ɪ s k
affärskedjor|a f ˈɛː ʂ k ə d j ˌuː r
affärsklimat|a f ˈɛː ʂ k l iː m ˌa t
affärsklädseln|a f ˈɛː ʂ k l ə d s ˌɛ l n
affärslivet|a f ˈɛː ʂ l iː v ə t
affärslokaler|a f ˈɛː ʂ l ʊ k ˌa l ə r
affärsman|a f ˈɛː ʂ m a n
affärsmannaskapet|a f ˈɛː ʂ m a n ˌa s k ɑː p ə t
affärsmannen|a f ˈɛː ʂ m a n ə n
affärsmiljö|a f ˈɛː ʂ m ɪ l j ˌøː
affärsmix|a f ˈɛː ʂ m iː k s
affärsmodell|a f ˈɛː ʂ m ɔ d ˈɛ l l
affärsmodellen|a f ˈɛː ʂ m ɔ d ˈɛ l l ə n
affärsmodeller|a f ˈɛː ʂ m ɔ d ˈɛ l l ə r
affärsmän|a f ˈɛː ʂ m ɛː n
affärsmässiga|a f ˈɛː ʂ m ə s ˌiː ɡ a
affärsmål|a f ˈɛː ʂ m oː l
affärsmöjligheter|a f ˈɛː ʂ m ˈœ j l ɪ ɡ h ˌeː t ə r
affärsnytta|a f ˈɛː ʂ n y tː ˌa
affärsområde|a f ˈɛː ʂ ɔ m r ˌoː d ə
affärsområden|a f ˈɛː ʂ ɔ m r ˌoː d ə n
affärsområdesansvarig|a f ˈɛː ʂ ɔ m r ˌoː d ə s ˌa n s v ɑː r ˌɪ ɡ
affärsområdeschef|a f ˈɛː ʂ ɔ m r ˌoː d ə ʃ ˌɛː f
affärsområdeschefen|a f ˈɛː ʂ ɔ m r ˌoː d ə ʃ ˌɛː f ə n
affärsområdet|a f ˈɛː ʂ ɔ m r ˌoː d ə t
affärspartner|a f ˈɛː ʂ p a t n ə r
affärsplanen|a f ˈɛː ʂ p l a n ə n
affärsplattformar|a f ˈɛː ʂ p l a t f ˈɔ r m a r
affärsprocesser|a f ˈɛː ʂ p r ʊ s ˌɛ s ə r
affärsrelationer|a f ˈɛː ʂ r ə l a sx ˈuː n ə r
affärsresenärerna|a f ˈɛː ʂ r ə s ə n ˌɛː r ə r n ˌa
affärssnille|a f ˈɛː ʂ n ɪ l ə
affärsstrategi|a f ˈɛː ʂ t r a t ə j ˌiː
affärsstöd|a f ˈɛː ʂ t øː d
affärssystem|a f ˈɛː ʂ y s t ˌeː m
affärsutvecklare|a f ˈɛː ʂ ʉ t v ˌɛ k l ɑː r ə
affärsverk|a f ˈɛː ʂ v ə r k
affärsverksamhet|a f ˈɛː ʂ v ə r k s ˌa m h eː t
affärsverksamheten|a f ˈɛː ʂ v ə r k s ˌa m h eː t ə n
affärsverksamheter|a f ˈɛː ʂ v ə r k s ˌa m h ə t ə r
affärsvän|a f ˈɛː ʂ v ɛː n
affärsvärde|a f ˈɛː ʂ v ɛː r d ə
affärsvärlden|a f ˈɛː ʂ v ˈɛː r d ə n
affärsvärldens|a f ˈɛː ʂ v ˈɛː r d ə n s
affär”|a f ˈɛː r
afganska|ˈa f ɡ a n s k ˌa
afghaners|ˈa f ɡ h a n ˌɛ ʂ
afghanistan|ˈa f ɡ h a n ˌɪ s t a n
afghanistanchef|ˈa f ɡ h a n ˌɪ s t a n sx ˌɛː f
afghanistankommitténs|ˌa f ɡ h a n ˌɪ s t a ŋ k ˌɔ m ɪ tː ˈeː n s
afghanistans|ˌa f ɡ h a n ɪ s t ˈa n s
afghanistansituation|ˌa f ɡ h a n ˌɪ s t a n s ˌɪ t ʉ a sx ˈuː n
afghansk|ˈa f ɡ h a n s k
afghanska|ˈa f ɡ h a n s k ˌa
afonbladet|ɑː f ˈoː n b l ɑː d ə t
afp|ˈa f p
afred|ˈa f r ə d
africa|ˈa f r iː k ˌa
afrika|ˈa f r iː k a
afrikainstitutet|ˈa f r iː k a ˌɪ n s t ɪ t ˌʉ t ə t
afrikanska|ˌa f r iː k ˈɑː n s k a
afrikanskt|ˌa f r iː k ˈɑː n s k t
afrikas|ˈa f r iː k ˌa s
afrobeat|ˈa f r uː b ə ˌa t
afrofuturistisk|ˈa f r uː f ˌʉ t ʉ r ˌɪ s t ɪ s k
afry|ˈa f r yː
afs|ˈa f s
aftenblad|ˈa f t ə n b l ˌɑː d
aftenposten|ˈa f t ə n p ˌɔ s t ə n
afternoon|ˈa f t ə r n ˌuː uː n
aftershavehakor|ˈa f t ə ʂ h ˌa v ə h ˌa k uː r
aftonblade|ˈa f t ɔ n b l ˌɑː d ə
aftonbladet|ˈa f t ɔ n b l ˌɑː d ə t
aftonbladets|ˈa f t ɔ n b l ˌɑː d ə t s
aftonbön|ˈa f t ɔ n b ˌøː n
aftonen|ˈa f t uː n ə n
aftonens|ˈa f t uː n ə n s
ag|ˈɑː ɡ
agadir|ˈɑː ɡ a d ˌɪ r
against|ˈɑː ɡ a ˌɪ n s t
agapaddan|ˈɑː ɡ a p ˌa d a n
agar|ˈɑː ɡ a r
agatha|ˈɑː ɡ a t h ˌa
agency|ˈɑː ɡ ə n s ˌyː
agenda|ˈɑː ɡ ə n d ˌa
agendan|ˈɑː ɡ ə n d ˌa n
agendas”|ˈɑː ɡ ə n d ˌa s
agendor|ˈɑː ɡ ə n d ˌuː r
agendorna|ˈɑː ɡ ə n d ˌuː r n a
agent|ˈɑː ɡ ə n t
agenten|ˈɑː ɡ ə n t ə n
agenter|ˈɑː ɡ ə n t ə r
agenterna|ˈɑː ɡ ə n t ˌɛ r n a
agenter”|ˈɑː ɡ ə n t ə r
agentur|ˈɑː ɡ ə n t ˌʉ r
agenture|ˈɑː ɡ ə n t ˌʉ r ə
agenturen|ˈɑː ɡ ə n t ˌʉ r ə n
agent”|ˈɑː ɡ ə n t
agera|ˈa ɡ eː r ˌa
agerade|ˈa ɡ eː r ˌa d ə
agerande|ˈa ɡ eː r ˌa n d ə
ageranden|ˈa ɡ eː r ˌa n d ə n
agerandet|ˈa ɡ eː r ˌa n d ə t
agerande”|ˈa ɡ eː r ˌa n d ə
agerar|ˈa ɡ eː r ˌa r
agerat|ˈa ɡ eː r ˌa t
agertoft|ˈɑː ɡ ə t ˌɔ f t
agetorp|ˈɑː ɡ ə t ˌuː r p
age”|ˈɑː ɡ ə
agf|ˈa ɡ f
aggregatorer|ˈa ɡ r ə ɡ ˌa t uː r ə r
aggregerad|ˈa ɡ r ə j ˌeː r a d
aggressionen|ˌa ɡ r ə sx ˈuː n ə n
aggressioner|ˌa ɡ r ə sx ˈuː n ə r
aggressionerna|ˌa ɡ r ə sx ˈuː n ə r n ˌa
aggression”|ˌa ɡ r ə sx ˈuː n
aggressiv|ˈa ɡ r ə s ˌiː v
aggressiva|ˈa ɡ r ə s ˌiː v a
aggressiva”|ˈa ɡ r ə s ˌiː v a
aggressivitet|ˈa ɡ r ə s ˌiː v iː t ˌeː t
aggressivt|ˈa ɡ r ə s ˌɪ v t
agila|ˈɑː ɡ iː l ˌa
agilitet|ˈɑː ɡ iː l ˌiː t eː t
agilityklass|ˈɑː ɡ iː l ˌiː t y k l ˌa s
aging”|ˈɑː ɡ ɪ ŋ
agitator|ˈɑː ɡ iː t ˌa t ɔ r
aglander|ˈa ɡ l a n d ə r
agne|ˈa ŋ n ə
agneieszka|ˈa ŋ n ə ˌiː  ə s s k ˌa
agnes|ˈa ŋ n ə s
agnese|ˈa ŋ n ə s ə
agneta|ˈa ŋ n ə t ˌa
agneta”|ˈa ŋ n ə t ˌa
agnetha|ˈa ŋ n ə t h ˌa
agnostisk|ˈa ŋ n ɔ s t ˌɪ s k
agnès|ˈa ŋ n ə s
agosti|ˈɑː ɡ ɔ s t ˌiː
agrela|ˈa ɡ r ə l ˌa
agrell|ˈa ɡ r ə l
agricolakapellet|ˈa ɡ r iː k ˌuː l a k ˌa p ə l ə t
ags|ˈa ɡ s
agtiras|ˈa k t iː r ˌa s
aguerd|ˈɑː ɡ ʉ ˌɛ r d
aguirre|ˈɑː ɡ ʉ ˌɪ r ə
ah|ˈɑː h
aha|ˈɑː h a
ahde|ˈa h d ə
aheyeu|ˈɑː h ə ˌyː ə ˌʉ
ahl|ˈa h l
ahlafors|ˈa h l a f ˌɔ ʂ
ahlander|ˈa h l a n d ə r
ahlbeck|ˈa h l b ə k
ahlberg|ˈa h l b ə r j
ahlbäckssalen|ˈa h l b ə k s ˌa l ə n
ahlebro|ˈa h l ə b r ˌuː
ahlfors|ˈa h l f ɔ ʂ
ahlgren|ˈa h l ɡ r ə n
ahlholm|ˈa h l h ɔ l m
ahlin|a h l ˈiː n
ahlman|ˈa h l m a n
ahlmann|ˈa h l m a n
ahlstedt|ˈa h l s t ə d t
ahlstrand|ˈa h l s t r a n d
ahlén|a h l ˈeː n
ahmad|ˈa h m a d
ahmadi|ˈa h m a d ˌiː
ahmadreza|ˈa h m a d r ə s ˌa
ahmads|ˈa h m a d s
ahmed|ˈa h m ə d
ahmedhodzic|ˈa h m ə d h ˌɔ d s iː k
ahmetovic|ˈa h m ə t ˌuː v iː k
aho|ˈɑː h uː
ahomäki|ˈɑː h uː m ˌɛː k iː
ahos|ˈɑː h uː s
ahrne|ˈa h r n ə
ahtinen|a h t ˈiː n ə n
ahtisaaris|ˈa h t ɪ s ˌa a r ˌiː s
ahunna|ˈɑː h ɵ n ˌa
ai|ˈɑː iː
aic|ˈɑː iː k
aicher|ˈɑː ɪ ʃ ə r
aid|ˈɑː iː d
aida|ˈɑː iː d ˌa
aidan|ˈɑː iː d ˌa n
aiden|ˈɑː iː d ə n
aidian|ˈɑː iː d ˌiː  a n
aidssjuka|ˈɑː ɪ d s j ˌʉ k a
aiesh|ˈɑː iː  ˌɛ s h
aieshs|ˈɑː iː  ˌɛ s h s
aif|ˈɑː iː f
aik|ˈɑː iː k
aikåtränaren|ˈɑː iː k ˌoː t r ɛː n ˌa r ə n
aik–edsbyn|ˈɑː iː k ˈɛ d s b yː n
aims|ˈɑː ɪ m s
air|ˈɑː iː r
airbagar|ˈɑː ɪ r b ˌa ɡ a r
airbagen|ˈɑː ɪ r b ˌa ɡ ə n
airbus|ˈɑː ɪ r b ˌʉ s
aires|ˈɑː iː r ə s
airline|ˈɑː ɪ r l ˌiː n ə
airlines|ˈɑː ɪ r l ˌiː n ə s
airport|ˈɑː ɪ r p ˌuː t
airways|ˈɑː ɪ r v ˌa yː s
air”|ˈɑː iː r
ais|ˈɑː iː s
aisa|ˈɑː iː s ˌa
aissatou|ˈɑː ɪ s ˌa t uː ˌʉ
aittamaa|ˈɑː ɪ tː ˌa m a ˌa
aitzkoa|ˈɑː ɪ t s k ˌuː a
aix|ˈɑː iː k s
aja|ˈɑː j a
ajalin|ˌɑː j a l ˈiː n
ajax|ˈɑː j a k s
ajournerades|ˈɑː sx ʊ r n ˌeː r a d ə s
ajöss|ɑː j ˈœ s
ak|ˈɑː k
akademi|ˈɑː k a d ə m ˌiː
akademien|ˈɑː k a d ə m ˌiː  ə n
akademier|ˈɑː k a d ə m ˌiː  ə r
akademin|ˌɑː k a d ə m ˈiː n
akademins|ˈɑː k a d ə m ˌɪ n s
akademis|ˈɑː k a d ə m ˌiː s
