&| ˈe 
'tijolos'|t ˌi ʒ ˈɔ l ʊ ʃ
'time'|t ˈaɪ m ɨ
'tirando|t ˌi ɾ ˈɐ̃ ŋ d ʊ
'tomou|t u m ˈo w
'torná|t u ɾ ə n ˈa
'um|ˈũ ŋ
'uma|ˈu m ɐ
'vacinem|v ˌɐ s ˈi n eɪ ŋ
'vai|v ˈaɪ
'vassoura|v ˌɐ s ˈo w ɾ ɐ
'verdugo’|v ˌe ɾ ə d ˈu ɡ ʊ
'vingança'|v ˌi ŋ ɡ ˈɐ̃ ŋ s ɐ
'violência|v ˌi  u l ˈeɪ ŋ s j ɐ
'você|v o s ˈe
'vocês|v u s ˈe ʃ
'vote|v ˈɔ t ɨ
'à|ˌɐ  ɡ ɹ ˈa v i 
+|m ˈaɪ ʃ
+cultura|m ˈaɪ ʃ k ˌu w t ˈu ɾ ɐ
/ou|ˈo w
0|z ˈɛ ɾ u
1|ˈu m
10|d ˈɛ ʃ
100|s ˈeɪ ŋ
100%|s ˈeɪ ŋ p ˌo r s ˈeɪ ŋ t ʊ
1000|m ˈi l 
101|s ˈeɪ ŋ t u i  ˈu m
11|ˈo ŋ z ɨ
12|d ˈo z ɨ
13|t ɹ ˈe z ɨ
14|k ɐ t ˈo r z ɨ
15|k ˈi ŋ z ɨ
16|d ˌɨ z ɐ s ˈe i ʃ
17|d ˌɨ z ɐ s ˈɛ t ɨ
18|d ˌɨ z ˈɔ i t u
1814|m ˈi l  ˈoɪ t u s ˈeɪ ŋ t u ʒ ˌi k ɐ t ˈo r z ɨ
18º|d ˈɛ s i m ˌʊ oɪ t ˈa v ʊ
2|d ˈoɪ ʃ
20|v ˈi ŋ t ɨ
20h30|v ˈi ŋ t ɨ ɐ ɡ ˈa t ɹ ˈi ŋ t ɐ
21|v ˈi ŋ t ɨ i  ˈu m
22|v ˈi ŋ t ɨ i d ˈoɪ ʃ
24|v ˈi ŋ t ɨ i k w ˈa t ɹ u
25|v ˈi ŋ t ɨ i s ˈi ŋ k u
3|t ɹ ˈe ʃ
30|t ɹ ˈi ŋ t ɐ
31|t ɹ ˈi ŋ t ɐ i  ˈu m
34|t ɹ ˈi ŋ t ɐ i k w ˈa t ɹ u
36|t ɹ ˈi ŋ t ɐ i s ˈeɪ ʃ
37|t ɹ ˈi ŋ t ɐ i s ˈɛ t ɨ
38|t ɹ ˈi ŋ t ɐ i  ˈoɪ t u
4|k w ˈa t ɹ u
40|k w ɐ ɾ ˈe ŋ t ɐ
45|k w ɐ ɾ ˈe ŋ t ɐ i s ˈi ŋ k u
5|s ˈi ŋ k u
50|s ˌi ŋ k w ˈeɪ ŋ t ɐ
50%|s ˌi ŋ k w ˈeɪ ŋ t ɐ p ˌo r s ˈeɪ ŋ t ʊ
500|k ˌi ɲ ˈeɪ ŋ t u ʃ
500m|k ˌi ɲ ˈeɪ ŋ t u ʒ ˈɛ m
6|s ˈeɪ ʃ
60|s ˌɨ s ˈeɪ ŋ t ɐ
7|s ˈɛ t ɨ
70|s ˌɨ t ˈeɪ ŋ t ɐ
8|ˈoɪ t u
80|ˌoɪ t ˈeɪ ŋ t ɐ
85|ˌoɪ t ˈeɪ ŋ t ɐ i s ˈi ŋ k u
8º|ˌoɪ t ˈa v ʊ
9|n ˈɔ v ɨ
9h30|n ˈɔ v ɨ ɐ ɡ ˈa t ɹ ˈi ŋ t ɐ
a|ˈa
aabelião|ˌɐ ɐ b ˌe l i  ˈɐ̃ʊ̃
aac|ɐ ˈa k
aadcc|ɐ ˈa d k
aah|ɐ ˈa
aal|ɐ ˈɑ l
aap|ɐ ˈa p
aarhus|ˌɐ ɐ ɾ ə ˈu ʃ
aaron|ˌɐ ɐ ɾ ˈo ŋ
aarão|ˌɐ ɐ ɾ ˈɐ̃ʊ̃
aatrox|ˌɐ ɐ t ɹ ˈo k s
aba|ˈa b ɐ
abacare|ˌɐ b ɐ k ˈa ɾ ɨ
abacate|ˌɐ b ɐ k ˈa t ɨ
abacateiro|ˌɐ b ɐ k ɐ t ˈeɪ ɾ ʊ
abacaxi|ˌɐ b ɐ k ɐ ʃ ˈi
abacaxis|ˌɐ b ɐ k ɐ ʃ ˈi ʃ
abadia|ˌɐ b ɐ d ˈi  ɐ
abaetetuba|ˌɐ b ɐ ˌe t ɨ t ˈu b ɐ
abafada|ˌɐ b ɐ f ˈa d ɐ
abafado|ˌɐ b ɐ f ˈa d ʊ
abafados|ˌɐ b ɐ f ˈa d ʊ ʃ
abafar|ˌɐ b ɐ f ˈa ɹ
abagge|ˌɐ b ˈa ʒ ɨ
abaiara|ˌɐ b aɪ  ˈa ɾ ɐ
abaixa|ˌɐ b ˈaɪ ʃ ɐ
abaixadas|ˌɐ b aɪ ʃ ˈa d ɐ ʃ
abaixam|ˌɐ b ˈaɪ ʃ ɐ̃ʊ̃
abaixando|ˌɐ b aɪ ʃ ˈɐ̃ ŋ d ʊ
abaixar|ˌɐ b aɪ ʃ ˈa ɹ
abaixava|ˌɐ b aɪ ʃ ˈa v ɐ
abaixei|ˌɐ b aɪ ʃ ˈeɪ
abaixem|ˌɐ b ˈaɪ ʃ eɪ ŋ
abaixo|ˌɐ b ˈaɪ ʃ ʊ
abaixou|ˌɐ b aɪ ʃ ˈo w
abal|ɐ b ˈɑ l
abalada|ˌɐ b ɐ l ˈa d ɐ
abalada”|ˌɐ b ɐ l ˈa d ɐ
abalado|ˌɐ b ɐ l ˈa d ʊ
abalados|ˌɐ b ɐ l ˈa d ʊ ʃ
abalam|ˌɐ b ˈa l ɐ̃ʊ̃
abalar|ˌɐ b ɐ l ˈa ɹ
abalara|ˌɐ b ɐ l ˈa ɾ ɐ
abalaram|ˌɐ b ɐ l ˈa ɾ ɐ̃ʊ̃
abalei|ˌɐ b ɐ l ˈeɪ
abalo|ˌɐ b ˈa l ʊ
abalos|ˌɐ b ˈa l ʊ ʃ
abalou|ˌɐ b ɐ l ˈo w
abalroado|ɐ b ˌɑ l ʁ u ˈa d ʊ
abanar|ˌɐ b ɐ n ˈa ɹ
abandona|ˌɐ b ɐ̃ ŋ d ˈo n ɐ
abandonada|ˌɐ b ɐ̃ ŋ d u n ˈa d ɐ
abandonadas|ˌɐ b ɐ̃ ŋ d u n ˈa d ɐ ʃ
abandonado|ˌɐ b ɐ̃ ŋ d u n ˈa d ʊ
abandonados|ˌɐ b ɐ̃ ŋ d u n ˈa d ʊ ʃ
abandonam|ˌɐ b ɐ̃ ŋ d ˈo n ɐ̃ʊ̃
abandonando|ˌɐ b ɐ̃ ŋ d u n ˈɐ̃ ŋ d ʊ
abandonar|ˌɐ b ɐ̃ ŋ d u n ˈa ɹ
abandonaram|ˌɐ b ɐ̃ ŋ d u n ˈa ɾ ɐ̃ʊ̃
abandonarmos|ˌɐ b ɐ̃ ŋ d u n ˈa ɾ ə m ʊ ʃ
abandonará|ˌɐ b ɐ̃ ŋ d ˌu n ɐ ɾ ˈa
abandonará”|ˌɐ b ɐ̃ ŋ d ˌu n ɐ ɾ ˈa
abandonassem|ˌɐ b ɐ̃ ŋ d u n ˈa s eɪ ŋ
abandonastes|ˌɐ b ɐ̃ ŋ d u n ˈa ʃ t ɨ ʃ
abandonava|ˌɐ b ɐ̃ ŋ d u n ˈa v ɐ
abandonavam|ˌɐ b ɐ̃ ŋ d u n ˈa v ɐ̃ʊ̃
abandone|ˌɐ b ɐ̃ ŋ d ˈo n ɨ
abandonei|ˌɐ b ɐ̃ ŋ d u n ˈeɪ
abandonem|ˌɐ b ɐ̃ ŋ d ˈo n eɪ ŋ
abandono|ˌɐ b ɐ̃ ŋ d ˈo n ʊ
abandonos|ˌɐ b ɐ̃ ŋ d ˈo n ʊ ʃ
abandonou|ˌɐ b ɐ̃ ŋ d u n ˈo w
abapa|ˌɐ b ˈa p ɐ
abarca|ˌɐ b ˈa ɾ ə k ɐ
abarcadas|ˌɐ b ɐ ɾ ə k ˈa d ɐ ʃ
abarcar|ˌɐ b ɐ ɾ ə k ˈa ɹ
abarrotado|ˌɐ b ɐ ʁ u t ˈa d ʊ
abas|ˈa b ɐ ʃ
abascal|ˌɐ b ɐ ʃ k ˈɑ l
abassi|ˌɐ b ɐ s ˈi
abastada|ˌɐ b ɐ ʃ t ˈa d ɐ
abastadas|ˌɐ b ɐ ʃ t ˈa d ɐ ʃ
abastado|ˌɐ b ɐ ʃ t ˈa d ʊ
abastados|ˌɐ b ɐ ʃ t ˈa d ʊ ʃ
abastança|ˌɐ b ɐ ʃ t ˈɐ̃ ŋ s ɐ
abastece|ˌɐ b ɐ ʃ t ˈɛ s ɨ
abastecem|ˌɐ b ɐ ʃ t ˈɛ s eɪ ŋ
abastecendo|ˌɐ b ɐ ʃ t ɨ s ˈeɪ ŋ d ʊ
abastecer|ˌɐ b ɐ ʃ t ɨ s ˈe ɹ
abastecido|ˌɐ b ɐ ʃ t ɨ s ˈi d ʊ
abastecidos|ˌɐ b ɐ ʃ t ɨ s ˈi d ʊ ʃ
abastecimento|ˌɐ b ɐ ʃ t ˌe s i m ˈeɪ ŋ t ʊ
abastecimentos|ˌɐ b ɐ ʃ t ˌe s i m ˈeɪ ŋ t ʊ ʃ
abasteçam|ˌɐ b ɐ ʃ t ˈe s ɐ̃ʊ̃
abata|ˌɐ b ˈa t ɐ
abate|ˌɐ b ˈa t ɨ
abatedouro|ˌɐ b ɐ t ɨ d ˈo w ɾ ʊ
abatem|ˌɐ b ˈa t eɪ ŋ
abatendo|ˌɐ b ɐ t ˈeɪ ŋ d ʊ
abater|ˌɐ b ɐ t ˈe ɹ
abateram|ˌɐ b ɐ t ˈe ɾ ɐ̃ʊ̃
abates|ˌɐ b ˈa t ɨ ʃ
abateu|ˌɐ b ɐ t ˈeʊ
abatiam|ˌɐ b ɐ t ˈi  ɐ̃ʊ̃
abatida|ˌɐ b ɐ t ˈi d ɐ
abatidas|ˌɐ b ɐ t ˈi d ɐ ʃ
abatido|ˌɐ b ɐ t ˈi d ʊ
abatidos|ˌɐ b ɐ t ˈi d ʊ ʃ
abatimento|ˌɐ b ɐ t i m ˈeɪ ŋ t ʊ
abatê|ˌɐ b ɐ t ˈe
abaíra|ˌɐ b ɐ ˈi ɾ ɐ
abbas|ˈa b ɐ ʃ
abbey|ɐ b ˈeɪ
abbiamo|ˌɐ b i  ˈɐ̃ m ʊ
abbud|ɐ b ˈu d
abc|ˌɐ b ˌe s ˈe
abc+|ˌɐ b ˌe s ˈe m ˈaɪ ʃ
abcr|ˈa b k r
abc”|ˌɐ b ˌe s ˈe
abdel|ɐ b d ˈɛ l
abdelhak|ˌɐ b d ɨ ʎ ˈa k
abdeslam|ˌɐ b d ˈe ʒ l ɐ̃ʊ̃
abdias|ˌɐ b d ˈi  ɐ ʃ
abdicar|ˌɐ b d i k ˈa ɹ
abdicação|ˌɐ b d i k ɐ s ˈɐ̃ʊ̃
abdicou|ˌɐ b d i k ˈo w
abdique|ˌɐ b d ˈi k ɨ
abdominais|ˌɐ b d u m i n ˈaɪ ʃ
abdominal|ˌɐ b d u m i n ˈɑ l
abdon|ɐ b d ˈo ŋ
abdou|ɐ b d ˈo w
abdoulay|ˌɐ b d u w l ˈaɪ
abdu|ɐ b d ˈu
abdula|ˌɐ b d ˈu l ɐ
abdullah|ˌɐ b d u l ˈa
abdulrahim|ˌɐ b d u w ʁ ɐ ˈi ŋ
abduzida|ˌɐ b d u z ˈi d ɐ
abdómen|ˌɐ b d ˈɔ m eɪ ŋ
abdômen|ˌɐ b d ˈo m eɪ ŋ
abe|ˈa b ɨ
abecassis|ˌɐ b ɨ k ɐ s ˈi ʃ
abecom|ˌɐ b ɨ k ˈo ŋ
abecásia|ˌɐ b ɨ k ˈa z j ɐ
abeinfo|ˌɐ b ɨ ˈi ŋ f ʊ
abel|ɐ b ˈɛ l
abelha|ˌɐ b ˈe ʎ ɐ
abelhas|ˌɐ b ˈe ʎ ɐ ʃ
abelhinha|ˌɐ b ɨ ʎ ˈi ɲ ɐ
abençoa|ˌɐ b eɪ ŋ s ˈo ɐ
abençoada|ˌɐ b eɪ ŋ s u ˈa d ɐ
abençoadamente|ˌɐ b eɪ ŋ s ˌu ɐ d ɐ m ˈeɪ ŋ t ɨ
abençoada”|ˌɐ b eɪ ŋ s u ˈa d ɐ
abençoado|ˌɐ b eɪ ŋ s u ˈa d ʊ
abençoam|ˌɐ b eɪ ŋ s ˈo ɐ̃ʊ̃
abençoar|ˌɐ b eɪ ŋ s u ˈa ɹ
abençoara|ˌɐ b eɪ ŋ s u ˈa ɾ ɐ
abençoe|ˌɐ b eɪ ŋ s ˈo ɨ
abençoou|ˌɐ b eɪ ŋ s u ˈo w
aberração|ˌɐ b ɨ ʁ ɐ s ˈɐ̃ʊ̃
aberrações|ˌɐ b ɨ ʁ ɐ s ˈõ j ʃ
aberta|ˌɐ b ˈɛ ɾ ə t ɐ
abertamente|ˌɐ b ɨ ɾ ə t ɐ m ˈeɪ ŋ t ɨ
abertas|ˌɐ b ˈe ɾ ə t ɐ ʃ
abertas”|ˌɐ b ˈɛ ɾ ə t ɐ ʃ
aberta”|ˌɐ b ˈɛ ɾ ə t ɐ
aberto|ˌɐ b ˈɛ ɾ ə t ʊ
abertos|ˌɐ b ˈe ɾ ə t ʊ ʃ
aberto…|ˌɐ b ˈɛ ɾ ə t ʊ
abertura|ˌɐ b ɨ ɾ ə t ˈu ɾ ɐ
aberturas|ˌɐ b ɨ ɾ ə t ˈu ɾ ɐ ʃ
abespetro|ˌɐ b ɨ ʃ p ˈɛ t ɹ ʊ
abf|ˈa b f
abi|ɐ b ˈi
abib|ɐ b ˈi b
abih|ɐ b ˈi
abimaq|ˌɐ b i m ˈa k
abinee|ˌɐ b i n ˈi  ɨ
abir|ɐ b ˈi ɹ
abismada|ˌɐ b i ʒ m ˈa d ɐ
abismava|ˌɐ b i ʒ m ˈa v ɐ
abismo|ˌɐ b ˈi ʒ m ʊ
abismos|ˌɐ b ˈi ʒ m ʊ ʃ
abissal|ˌɐ b i s ˈɑ l
abit|ɐ b ˈi t
abjeta|ˌɐ b ʒ ˈɛ t ɐ
abjeção|ˌɐ b ʒ ɨ s ˈɐ̃ʊ̃
abjeções|ˌɐ b ʒ ɨ s ˈõ j ʃ
abl|ˈa b l
ablação|ˌɐ b l ɐ s ˈɐ̃ʊ̃
abn|ˈa b n
abnegada|ˌɐ b n ɨ ɡ ˈa d ɐ
abnegação|ˌɐ b n ɨ ɡ ɐ s ˈɐ̃ʊ̃
abnegações|ˌɐ b n ɨ ɡ ɐ s ˈõ j ʃ
abner|ɐ b n ˈe ɹ
abobadado|ˌɐ b u b ɐ d ˈa d ʊ
abobrinha|ˌɐ b u b ɹ ˈi ɲ ɐ
abolicionista|ˌɐ b u l ˌi s i  u n ˈi ʃ t ɐ
abolida|ˌɐ b u l ˈi d ɐ
abolir|ˌɐ b u l ˈi ɹ
abolição|ˌɐ b u l i s ˈɐ̃ʊ̃
abominações|ˌɐ b u m ˌi n ɐ s ˈõ j ʃ
abominável|ˌɐ b u m i n ˈa v ˌɛ l
abono|ˌɐ b ˈo n ʊ
abonos|ˌɐ b ˈo n ʊ ʃ
aborda|ˌɐ b ˈɔ ɾ ə d ɐ
abordada|ˌɐ b u ɾ ə d ˈa d ɐ
abordadas|ˌɐ b u ɾ ə d ˈa d ɐ ʃ
abordado|ˌɐ b u ɾ ə d ˈa d ʊ
abordados|ˌɐ b u ɾ ə d ˈa d ʊ ʃ
abordagem|ˌɐ b u ɾ ə d ˈa ʒ eɪ ŋ
abordagem”|ˌɐ b u ɾ ə d ˈa ʒ eɪ ŋ
abordagens|ˌɐ b u ɾ ə d ˈa ʒ eɪ ŋ ʃ
abordam|ˌɐ b ˈɔ ɾ ə d ɐ̃ʊ̃
abordando|ˌɐ b u ɾ ə d ˈɐ̃ ŋ d ʊ
abordar|ˌɐ b u ɾ ə d ˈa ɹ
abordaram|ˌɐ b u ɾ ə d ˈa ɾ ɐ̃ʊ̃
abordará|ˌɐ b u ɾ ə d ɐ ɾ ˈa
abordasse|ˌɐ b u ɾ ə d ˈa s ɨ
aborde|ˌɐ b ˈɔ ɾ ə d ɨ
abordou|ˌɐ b u ɾ ə d ˈo w
abordá|ˌɐ b u ɾ ə d ˈa
aborrece|ˌɐ b u ʁ ˈɛ s ɨ
aborrecendo|ˌɐ b u ʁ ɨ s ˈeɪ ŋ d ʊ
aborrecente|ˌɐ b u ʁ ɨ s ˈeɪ ŋ t ɨ
aborrecer|ˌɐ b u ʁ ɨ s ˈe ɹ
aborreceu|ˌɐ b u ʁ ɨ s ˈeʊ
aborrecida|ˌɐ b u ʁ ɨ s ˈi d ɐ
aborrecidas|ˌɐ b u ʁ ɨ s ˈi d ɐ ʃ
aborrecido|ˌɐ b u ʁ ɨ s ˈi d ʊ
aborrecimento|ˌɐ b u ʁ ˌe s i m ˈeɪ ŋ t ʊ
aborrecimentos|ˌɐ b u ʁ ˌe s i m ˈeɪ ŋ t ʊ ʃ
abortada|ˌɐ b u ɾ ə t ˈa d ɐ
abortar|ˌɐ b u ɾ ə t ˈa ɹ
abortaram|ˌɐ b u ɾ ə t ˈa ɾ ɐ̃ʊ̃
abortivas|ˌɐ b u ɾ ə t ˈi v ɐ ʃ
aborto|ˌɐ b ˈo ɾ ə t ʊ
abortos|ˌɐ b ˈo ɾ ə t ʊ ʃ
abotoada|ˌɐ b u t u ˈa d ɐ
abou|ɐ b ˈo w
abra|ˈa b ɹ ɐ
abrace|ˌɐ b ɹ ˈa s ɨ
abracei|ˌɐ b ɹ ɐ s ˈeɪ
abracemos|ˌɐ b ɹ ɐ s ˈe m ʊ ʃ
abradee|ˌɐ b ɹ ɐ d ˈi  ɨ
abrafrutas|ˌɐ b ɹ ɐ f ɹ ˈu t ɐ ʃ
abraham|ˌɐ b ɹ ˈa ɐ̃ʊ̃
abram|ˈa b ɹ ɐ̃ʊ̃
abramo|ˌɐ b ɹ ˈɐ̃ m ʊ
abramovich|ˌɐ b ɹ ɐ m u v ˈi ʃ
abrandada|ˌɐ b ɹ ɐ̃ ŋ d ˈa d ɐ
abrandado|ˌɐ b ɹ ɐ̃ ŋ d ˈa d ʊ
