$|d ˈo l a
2008|ˌe l f u  m b ˈi l i  n a n ˈa n e
2013|ˌe l f u  m b ˈi l i k ˈu m i  n a t ˈa t u
2014|ˌe l f u  m b ˈi l i k ˈu m i  n a ˈn̩ n e
20ibrahimu|ˌi ʃ i r ˈi n i  ˌi b  r a h ˈi m u
20ikawa|ˌi ʃ i r ˈi n i  i k ˈa w a
20katika|ˌi ʃ i r ˈi n i  k a t ˌi k a
20kisha|ˌi ʃ i r ˈi n i  k ˈi ʃ a
20mvinyo|ˌi ʃ i r ˈi n i  m v ˈi ɲ o
21|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a
21akainua|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a  ˌa k a i n ˈu a
21basi|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a b ˈa s i
21bwana|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a b w ˈa n a
21ufunuo|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a  ˌu f u n ˈu o
22|ˌi ʃ i r ˈi n i  n a  m b ˈi l i
22basi|ˌi ʃ i r ˈi n i  n a  m b ˈi l i b ˈa s i
22c|ˌi ʃ i r ˈi n i  n a  m b ˈi l i s ˈi
22ikakaribia|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  ˌi k a k ˌa r i b ˈi a
22ikawa|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  i k ˈa w a
22kisha|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  k ˈi ʃ a
22ufunuo|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  ˌu f u n ˈu o
23|ˌi ʃ i r ˈi n i  n a t ˈa t u
230|m ˌi a  m b ˈi l i  n ˌa θ e l e θ ˈi n i
23ufunuo|ˌi ʃ i r ˈi n i  n a t ˈa t u  ˌu f u n ˈu o
23wakasimama|ˌi ʃ i r ˈi n i  n a t ˈa t u w ˌa k a s i m ˈa m a
24|ˌi ʃ i r ˈi n i  n a ˈn̩ n e
24hata|ˌi ʃ i r ˈi n i  n a ˈn̩ n e h ˌa t a
24tazama|ˌi ʃ i r ˈi n i  n a ˈn̩ n e t a z ˈa m a
25|ˌi ʃ i r ˈi n i  n a t ˈa n o
250000|m ˌi a  m b ˈi l i  n ˌa h a m s ˈi n i  ˈe l f u
25akafa|ˌi ʃ i r ˈi n i  n a t ˈa n o  a k ˈa f a
25hizi|ˌi ʃ i r ˈi n i  n a t ˈa n o h ˈi z i
26|ˌi ʃ i r ˈi n i  n a s ˈi t a
268|m ˌi a  m b ˈi l i s i t ˈi n i  n a n ˈa n e
26basi|ˌi ʃ i r ˈi n i  n a s ˈi t a b ˈa s i
26kama|ˌi ʃ i r ˈi n i  n a s ˈi t a  k ˈa m a
26siku|ˌi ʃ i r ˈi n i  n a s ˈi t a s ˈi k u
27|ˌi ʃ i r ˈi n i  n a s ˈa b a
27ndipo|ˌi ʃ i r ˈi n i  n a s ˈa b a n d ˈi p o
28|ˌi ʃ i r ˈi n i  n a n ˈa n e
28ikawa|ˌi ʃ i r ˈi n i  n a n ˈa n e  i k ˈa w a
28ole|ˌi ʃ i r ˈi n i  n a n ˈa n e  ˈo l e
28waovu|ˌi ʃ i r ˈi n i  n a n ˈa n e w a ˈo v u
29|ˌi ʃ i r ˈi n i  n a t ˈi s a
29basi|ˌi ʃ i r ˈi n i  n a t ˈi s a b ˈa s i
29ole|ˌi ʃ i r ˈi n i  n a t ˈi s a  ˈo l e
2hili|m b ˈi l i h ˈi l i
2kisha|m b ˈi l i  k ˈi ʃ a
2kwa|m b ˈi l i k w a
2mwanangu|m b ˈi l i  m w a n ˈa ŋ ɡ u
2naye|m b ˈi l i n ˈa j e
2nikauambia|m b ˈi l i n ˌi k a ˌu a m b ˈi a
2siku|m b ˈi l i s ˈi k u
3|t ˈa t u
30|θ ˌe l e θ ˈi n i
3000|ˌe l f u t ˈa t u
30ikawa|θ ˌe l e θ ˈi n i  i k ˈa w a
30maneno|θ ˌe l e θ ˈi n i  m a n ˈe n o
31|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a
31basi|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a b ˈa s i
31ole|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a  ˈo l e
32|θ ˌe l e θ ˈi n i  n a  m b ˈi l i
33|θ ˌe l e θ ˈi n i  n a t ˈa t u
34|θ ˌe l e θ ˈi n i  n a ˈn̩ n e
3400|ˌe l f u t ˈa t u m ˌi a ˈn̩ n e
34karibuni|θ ˌe l e θ ˈi n i  n a ˈn̩ n e  k ˌa r i b ˈu n i
35|θ ˌe l e θ ˈi n i  n a t ˈa n o
35nyika|θ ˌe l e θ ˈi n i  n a t ˈa n o ɲ ˈi k a
36|θ ˌe l e θ ˈi n i  n a s ˈi t a
37|θ ˌe l e θ ˈi n i  n a s ˈa b a
37ikawa|θ ˌe l e θ ˈi n i  n a s ˈa b a  i k ˈa w a
38|θ ˌe l e θ ˈi n i  n a n ˈa n e
39|θ ˌe l e θ ˈi n i  n a t ˈi s a
3basi|t ˈa t u b ˈa s i
3enyi|t ˈa t u  ˈe ɲ i
3kwa|t ˈa t u k w a
3mwaka|t ˈa t u  m w ˈa k a
3mwananguusiisahau|t ˈa t u  m w ˌa n a ŋ ɡ ˌu u s ˌi i s a h ˈa u
4|ˈn̩ n e
40|ˌa r o b a ˈi n i
400|m ˌi a ˈn̩ n e
41|ˌa r o b a ˈi n i  n a m ˈo ɟ a
41nyamazeni|ˌa r o b a ˈi n i  n a m ˈo ɟ a ɲ ˌa m a z ˈe n i
42|ˌa r o b a ˈi n i  n a  m b ˈi l i
42tazama|ˌa r o b a ˈi n i  n a  m b ˈi l i t a z ˈa m a
43|ˌa r o b a ˈi n i  n a t ˈa t u
44|ˌa r o b a ˈi n i  n a ˈn̩ n e
44lakini|ˌa r o b a ˈi n i  n a ˈn̩ n e l a k ˈi n i
45|ˌa r o b a ˈi n i  n a t ˈa n o
46|ˌa r o b a ˈi n i  n a s ˈi t a
47|ˌa r o b a ˈi n i  n a s ˈa b a
48|ˌa r o b a ˈi n i  n a n ˈa n e
49|ˌa r o b a ˈi n i  n a t ˈi s a
4basi|ˈn̩ n e b ˈa s i
4ikawa|ˈn̩ n e  i k ˈa w a
4kisha|ˈn̩ n e  k ˈi ʃ a
4lakini|ˈn̩ n e l a k ˈi n i
4na|ˈn̩ n e n a
4wanangu|ˈn̩ n e w a n ˈa ŋ ɡ u
5|t ˈa n o
50|h a m s ˈi n i
51|h a m s ˈi n i  n a m ˈo ɟ a
514|m ˌi a t ˈa n o k ˈu m i  n a ˈn̩ n e
52|h a m s ˈi n i  n a  m b ˈi l i
5200|ˌe l f u t ˈa n o m ˌi a  m b ˈi l i
53|h a m s ˈi n i  n a t ˈa t u
54|h a m s ˈi n i  n a ˈn̩ n e
55|h a m s ˈi n i  n a t ˈa n o
56|h a m s ˈi n i  n a s ˈi t a
57|h a m s ˈi n i  n a s ˈa b a
58|h a m s ˈi n i  n a n ˈa n e
5hiki|t ˈa n o h ˈi k i
5ikawa|t ˈa n o  i k ˈa w a
5jitunze|t ˈa n o ɟ i t ˈu n z e
5katika|t ˈa n o  k a t ˌi k a
5na|t ˈa n o n a
6|s ˈi t a
60|s i t ˈi n i
61|s i t ˈi n i  n a m ˈo ɟ a
62|s i t ˈi n i  n a  m b ˈi l i
64|s i t ˈi n i  n a ˈn̩ n e
65|s i t ˈi n i  n a t ˈa n o
66|s i t ˈi n i  n a s ˈi t a
6basi|s ˈi t a b ˈa s i
6ikawa|s ˈi t a  i k ˈa w a
6katika|s ˈi t a  k a t ˌi k a
6ndugu|s ˈi t a n d ˈu ɡ u
6una|s ˈi t a  ˈu n a
7|s ˈa b a
7alipokwisha|s ˈa b a  ˌa l i p o k w ˈi ʃ a
7bwana|s ˈa b a b w ˈa n a
7hata|s ˈa b a h ˌa t a
7heri|s ˈa b a h ˈe r i
7mwanangu|s ˈa b a  m w a n ˈa ŋ ɡ u
7ndugu|s ˈa b a n d ˈu ɡ u
8|n ˈa n e
80|θ ˌe m a n ˈi n i
8bwana|n ˈa n e b w ˈa n a
8hata|n ˈa n e h ˌa t a
8ikawa|n ˈa n e  i k ˈa w a
8je|n ˈa n e ɟ ˈe
8na|n ˈa n e n a
8ni|n ˈa n e n ˈi
8sasa|n ˈa n e s ˈa s a
9|t ˈi s a
90|t i s ˈi n i
9basi|t ˈi s a b ˈa s i
9hekima|t ˈi s a h e k ˈi m a
9mungu|t ˈi s a  m ˈu ŋ ɡ u
9na|t ˈi s a n a
9nasema|t ˈi s a n a s ˈe m a
`ufaafu|ˌu f a ˈa f u
a|ˈa
a'|ˈa
a'nzeki|a n z ˈe k i
a4|ˈa  ˈn̩ n e
aachaye|ˌa a tʃ ˈa j e
aache|a ˈa tʃ e
aachiwe|ˌa a tʃ ˈi w e
aada|a ˈa d a
aadhibiwapo|ˌa a ð ˌi b i w ˈa p o
aadhimishaye|ˌa a ð ˌi m i ʃ ˈa j e
aadwolf|a ˈa d w o l f
aahirishe|ˌa a h i r ˈi ʃ e
aaibishaye|ˌa a ˌi b i ʃ ˈa j e
aaiún|ˌa a ˈi u n
aaliyah|ˌa a l ˈi j a h
aama|a ˈa m a
aambatanaye|ˌa a m b ˌa t a n ˈa j e
aambiwacho|ˌa a m b i w ˈa tʃ o
aambukizi|ˌa a m b u k ˈi z i
aaminiye|ˌa a m i n ˈi j e
aamkapo|ˌa a m  k ˈa p o
aandamaye|ˌa a n d a m ˈa j e
aandike|ˌa a n d ˈi k e
aandikwe|ˌa a n d ˈi k w e
aangaliavyo|ˌa a ŋ ɡ ˌa l i ˈa v j o
aangaliaye|ˌa a ŋ ɡ ˌa l i ˈa j e
aangalie|ˌa a ŋ ɡ a l ˈi e
aangamie|ˌa a ŋ ɡ a m ˈi e
aangikwaye|ˌa a ŋ ɡ i k w ˈa j e
aangukapo|ˌa a ŋ ɡ u k ˈa p o
aangukaye|ˌa a ŋ ɡ u k ˈa j e
aanguke|ˌa a ŋ ɡ ˈu k e
aanze|a ˈa n z e
aanzishe|ˌa a n z ˈi ʃ e
aapaye|ˌa a p ˈa j e
aarau|ˌa a r ˈa u
aaron|a ˈa r o n
aatamia|ˌa a t a m ˈi a
ab|ˈa b
aba|ˈa b a
ababa|a b ˈa b a
abadan|a b ˈa d a n
abadani|ˌa b a d ˈa n i
abadilishe|ˌa b a d i l ˈi ʃ e
abadilishwe|ˌa b a d i l ˈi ʃ w e
abaha|a b ˈa h a
abakine|ˌa b a k ˈi n e
abakira|ˌa b a k ˈi r a
abalenchoka|ˌa b a l ˌe n̩ tʃ ˈo k a
abamera|ˌa b a m ˈe r a
abangoreme|ˌa b a ŋ ɡ o r ˈe m e
abanyancha|ˌa b a ɲ a ˈn̩ tʃ a
abarieri|ˌa b a r i ˈe r i
abarikiwe|ˌa b a r i k ˈi w e
abarikiye|ˌa b a r i k ˈi j e
abasia|ˌa b a s ˈi a
abati|a b ˈa t i
abb|ˈa b b
abbaba|a b b ˈa b a
abbay|ˈa b b a j
abbedissa|ˌa b b e d ˈi s s a
abbey|ˈa b b e j
abbot|ˈa b b o t
abdallah|a b d ˈa l l a h
abdel|ˈa b d e l
abdelaziz|ˌa b d e l ˈa z i z
abdi|ˈa b d i
abdirahman|ˌa b d i r ˈa h m a n
abdul|ˈa b d u l
abdulazizi|ˌa b d u l a z ˈi z i
abdullah|a b d ˈu l l a h
abdullahi|ˌa b d u l l ˈa h i
abdulrahman|ˌa b d u l  r ˈa h m a n
abebe|a b ˈe b e
abed|ˈa b e d
abedi|a b ˈe d i
abeid|a b ˈe i d
abelin|a b ˈe l i n
aberdares|ˌa b e r d ˈa r e s
aberdeen|ˌa b e r d ˈe e n
aberson|a b ˈe r s o n
abesi|a b ˈe s i
abf|ˈa b f
abhaghekoyo|ˌa b h a ɣ e k ˈo j o
abhaghusii|ˌa b h a ɣ u s ˈi i
abhaha|a b h ˈa h a
abheda|a b h ˈe d a
abi|ˈa b i
abia|a b ˈi a
abiathari|ˌa b i a θ ˈa r i
abieli|ˌa b i ˈe l i
abienus|ˌa b i ˈe n u s
abigaili|ˌa b i ɡ a ˈi l i
abilene|ˌa b i l ˈe n e
abimaeli|ˌa b i m a ˈe l i
abimeleki|ˌa b i m e l ˈe k i
abinadabu|ˌa b i n a d ˈa b u
abingirishaye|ˌa b i ŋ ɡ ˌi r i ʃ ˈa j e
abiria|ˌa b i r ˈi a
abishai|ˌa b i ʃ ˈa i
abishaye|ˌa b i ʃ ˈa j e
abiya|a b ˈi j a
abjadi|a b ɟ ˈa d i
abkarian|ˌa b  k a r ˈi a n
abkhazia|ˌa b  k h a z ˈi a
abneri|a b n ˈe r i
abo|ˈa b o
aboakyer|ˌa b o ˈa k j e r
abomey|a b ˈo m e j
abomoaye|ˌa b o m o ˈa j e
abondantia|ˌa b o n d a n t ˈi a
abonnemang|ˌa b o n n ˈe m a ŋ ɡ
aboriginal|ˌa b o r i ɡ ˈi n a l
aborigines|ˌa b o r i ɡ ˈi n e s
abort|ˈa b o r t
aboud|a b ˈo u d
about|a b ˈo u t
abraham|a b  r ˈa h a m
abrahamu|ˌa b  r a h ˈa m u
abrakadabra|ˌa b  r a k a d ˈa b  r a
abramovic|ˌa b  r a m ˈo v i k
abramu|a b  r ˈa m u
absa|ˈa b s a
absolut|a b s ˈo l u t
abstinenssymtomet|ˌa b s t i n e n s s j  m t ˈo m e t
absurdare|ˌa b s u r d ˈa r e
abu|ˈa b u
abubakar|ˌa b u b ˈa k a r
abugida|ˌa b u ɡ ˈi d a
abuja|a b ˈu ɟ a
abukir|a b ˈu k i r
abuni|a b ˈu n i
abunuwasi|ˌa b u n u w ˈa s i
aburi|a b ˈu r i
abushiri|ˌa b u ʃ ˈi r i
abysinia|ˌa b j s i n ˈi a
abyssinia|ˌa b j s s i n ˈi a
acacia|ˌa k a k ˈi a
academy|a k ˈa d e m j
acappella|ˌa k a p p ˈe l l a
acasma|a k ˈa s m a
acc|ˈa k k
acceleration|ˌa k k e l ˌe r a t ˈi o n
accelerator|ˌa k k e l e r ˈa t o r
accent|ˈa k k e n t
accepted|a k k ˈe p t e d
acceptera|ˌa k k e p t ˈe r a
accepterar|ˌa k k e p t ˈe r a r
accepteras|ˌa k k e p t ˈe r a s
access|ˈa k k e s s
accesskenya|ˌa k k e s s  k ˈe ɲ a
accident|a k k ˈi d e n t
accipitridae|ˌa k k i p ˌi t  r i d ˈa e
accommodate|ˌa k k o m  m o d ˈa t e
accp|ˈa k k p
accra|ˈa k k  r a
acetaminofeni|ˌa k e t ˌa m i n o f ˈe n i
acha|ˈa tʃ a
achague|ˌa tʃ a ɡ ˈu e
achaguliwe|ˌa tʃ a ɡ u l ˈi w e
achebe|a tʃ ˈe b e
achechemeaye|ˌa tʃ e tʃ ˌe m e ˈa j e
acheni|a tʃ ˈe n i
achezaye|ˌa tʃ e z ˈa j e
acheze|a tʃ ˈe z e
achezea|ˌa tʃ e z ˈe a
achieng|a tʃ ˈi e ŋ ɡ
achilieni|ˌa tʃ i l i ˈe n i
achille|a tʃ ˈi l l e
achilles|a tʃ ˈi l l e s
achimbaye|ˌa tʃ i m b ˈa j e
achinjaye|ˌa tʃ i ɲ ɟ ˈa j e
achintya|a tʃ ˈi n t j a
achiwa|a tʃ ˈi w a
achlabu|a tʃ l ˈa b u
achocheavyo|ˌa tʃ o tʃ e ˈa v j o
achokaye|ˌa tʃ o k ˈa j e
acholi|a tʃ ˈo l i
achovye|a tʃ ˈo v j e
achukiaye|ˌa tʃ u k i ˈa j e
achukiwe|ˌa tʃ u k ˈi w e
achumaye|ˌa tʃ u m ˈa j e
achume|a tʃ ˈu m e
achungaye|ˌa tʃ u ŋ ɡ ˈa j e
achunguze|ˌa tʃ u ŋ ɡ ˈu z e
achunguzwe|ˌa tʃ u ŋ ɡ ˈu z w e
acidophilus|ˌa k i d o p h ˈi l u s
ack|ˈa k k
ackusativ|ˌa k  k u s ˈa t i v
aconcagua|ˌa k o n k a ɡ ˈu a
acquafresca|ˌa k k u a f  r ˈe s k a
acquiescence|ˌa k k u ˌi e s k ˈe n k e
acrocephalidae|ˌa k  r o k ˌe p h a l i d ˈa e
acrocephalus|ˌa k  r o k e p h ˈa l u s
acrosome|ˌa k  r o s ˈo m e
acrylplyschers|ˈa k r j l p l j s tʃ e r s
acs|ˈa k s
act|ˈa k t
acth|ˈa k θ
actinvest|a k t ˈi n v e s t
actionspel|ˌa k t i ˈo n s p e l
active|a k t ˈi v e
acton|ˈa k t o n
actuarial|ˌa k t u a r ˈi a l
actus|ˈa k t u s
acv|ˈa k v
ad|ˈa d
ada|ˈa d a
adabu|a d ˈa b u
adabumwanangu|ˌa d a b ˌu m w a n ˈa ŋ ɡ u
adai|a d ˈa i
adaiye|ˌa d a ˈi j e
adal|ˈa d a l
adam|ˈa d a m
adams|ˈa d a m s
adamson|a d ˈa m s o n
adamu|a d ˈa m u
adapazarı|ˌa d a p a z ˈa r i
adaptivt|a d ˈa p t i v t
adbar|ˈa d b a r
adderall|a d d ˈe r a l l
addis|ˈa d d i s
addison|a d d ˈi s o n
addlestone|ˌa d d l e s t ˈo n e
adduct|ˈa d d u k t
adebayor|ˌa d e b ˈa j o r
adekis|a d ˈe k i s
adekvat|a d ˈe k v a t
adelaide|ˌa d e l a ˈi d e
adeln|ˈa d e l n
ademir|a d ˈe m i r
aden|ˈa d e n
adenuga|ˌa d e n ˈu ɡ a
adesi|a d ˈe s i
adh|ˈa ð
adha|ˈa ð a
adhabu|a ð ˈa b u
adhama|a ð ˈa m a
adhari|a ð ˈa r i
adhd|ˈa ð d
adhi|ˈa ð i
adhihirishe|ˌa ð i h i r ˈi ʃ e
adhimisho|ˌa ð i m ˈi ʃ o
adhimu|a ð ˈi m u
adhuhuri|ˌa ð u h ˈu r i
adi|ˈa d i
adidas|a d ˈi d a s
