''барс''|''pars''
wifi|wifi
woman|woman
wonder|wonder
www|www
xi|xi
xii|xii
xiii|xiii
xiv|xiv
xvii|xvii
xviii|xviii
xx|xx
xxi|xxi
xxxi|xxxi
xансео|xansJiɔ
xхi|xxi
xүмүүн|xumuːn
your|your
youtube|youtube
you’re”|you’re”
you”|you”
zipcode|zipcode
zoom|zoom
«аймшигт»|«ajmʃiɡtʰ»
«говь»|«ɡɔwʲ»
«гон|«ɡɔn
«зангиат»|«t͡sanɡiatʰ»
«чимээгүй»|«t͡ʃʰimɛːɡuj»
«эд|«ɛt
«эрүүл|«ɛruːɮ
«янханчлал»|«Janxant͡ʃʰɮaɮ»
а|a
аа|aː
аав|aːw
ааваараа|aːwaːraː
ааваасаа|aːwaːsaː
аавгүй|aːwɡuj
аавд|aːwt
аавдаа|aːwtaː
аавтай|aːwtʰaj
аавтайгаа|aːwtʰajɡaː
аавыг|aːwiːɡ
аавыгаа|aːwiːɡaː
аавын|aːwiːn
аавындаа|aːwiːntaː
аавынх|aːwiːnx
аавынхаа|aːwiːnxaː
аав”|aːw”
аагим|aːɡim
ааглаж|aːɡɮat͡ʃ
аадар|aːtar
аажав|aːt͡ʃaw
аажим|aːt͡ʃim
аажмаар|aːt͡ʃmaːr
аажуу|aːt͡ʃʊː
аажуухан|aːt͡ʃʊːxan
аалзны|aːɮt͡sniː
аан|aːn
аанай|aːnaj
аандаа|aːntaː
аар|aːr
аарон|aːrɔn
аархаж|aːrxat͡ʃ
аарц|aːrt͡sʰ
аарцанд|aːrt͡sʰant
аарцыг|aːrt͡sʰiːɡ
аас|aːs
аасаа|aːsaː
ааш|aːʃ
аашаараа|aːʃaːraː
аашилдаг|aːʃiɮtaɡ
аашилж|aːʃiɮt͡ʃ
аашлах|aːʃɮax
аашлахдаа|aːʃɮaxtaː
аашна|aːʃna
ааштай|aːʃtʰaj
аашхинь|aːʃxinʲ
ааһ|aːһ
ааһд|aːһt
ааһинь|aːһinʲ
аа”|aː”
аб|ap
аба|apa
абаг|apaɡ
абага|apaɡa
абдул|aptʊɮ
абдураимов|aptʊraimɔw
аби|api
абид|apit
абрам|apram
абрахам|apraxam
абрахамд|apraxamt
абрахамиг|apraxamiɡ
абрахамин|apraxamin
абрахамур|apraxamʊr
абсолют|apsɔɮJutʰ
абуладзе|apʊɮatt͡sJi
абэ|apɛ
аваагүй|awaːɡuj
аваагүйгээр|awaːɡujɡɛːr
аваагүй”|awaːɡuj”
аваад|awaːt
аваар|awaːr
аваарай|awaːraj
аваас|awaːs
аваасай|awaːsaj
аваатай|awaːtʰaj
аваачаагүй|awaːt͡ʃʰaːɡuj
аваачаад|awaːt͡ʃʰaːt
аваачдаг|awaːt͡ʃʰtaɡ
аваачиж|awaːt͡ʃʰit͡ʃ
аваачин|awaːt͡ʃʰin
аваачина|awaːt͡ʃʰina
аваачих|awaːt͡ʃʰix
аваачлаа|awaːt͡ʃʰɮaː
аваачмаар|awaːt͡ʃʰmaːr
аваачна|awaːt͡ʃʰna
аваачсан|awaːt͡ʃʰsan
аваачсанаас|awaːt͡ʃʰsanaːs
авааччихав|awaːt͡ʃʰt͡ʃʰixaw
авав|awaw
авагдсан|awaɡtsan
авагч|awaɡt͡ʃʰ
авагчдаа|awaɡt͡ʃʰtaː
авагчийн|awaɡt͡ʃʰiːn
авад|awat
авай|awaj
авалгүй|awaɮɡuj
авалиннь|awaɮinnʲ
авалт|awaɮtʰ
авалтаа|awaɮtʰaː
авалтад|awaɮtʰat
авалтууд|awaɮtʰʊːt
авалтыг|awaɮtʰiːɡ
авалтын|awaɮtʰiːn
авальдан|awaɮʲtan
авальнь|awaɮʲnʲ
авальтаһан|awaɮʲtʰaһan
авалян|awaɮJan
аван|awan
авангуут|awanɡʊːtʰ
авангуутаа|awanɡʊːtʰaː
авар|awar
аваргаар|awarɡaːr
аваргаараа|awarɡaːraː
аваргад|awarɡat
аваргалж|awarɡaɮt͡ʃ
аваргатай|awarɡatʰaj
аваргуудаа|awarɡʊːtaː
аваргуудтай|awarɡʊːttʰaj
аваргуудын|awarɡʊːtiːn
аваргыг|awarɡiːɡ
аваргын|awarɡiːn
аварна|awarna
аварсан|awarsan
аварч|awart͡ʃʰ
аваръя”|awarъJa”
авахаа|awaxaː
авахаар|awaxaːr
авахаас|awaxaːs
авахад|awaxat
авахгүй|awaxɡuj
авахгүйн|awaxɡujn
авахдаа|awaxtaː
авахтай|awaxtʰaj
аваху|awaxʊ
авахуулаад|awaxʊːɮaːt
авахуулах|awaxʊːɮax
авахуулахгүй”|awaxʊːɮaxɡuj”
авахуулдаг|awaxʊːɮtaɡ
авахуулж|awaxʊːɮt͡ʃ
авахуулсан|awaxʊːɮsan
авахуулчихдаг|awaxʊːɮt͡ʃʰixtaɡ
авахы|awaxiː
авахыг|awaxiːɡ
авахын|awaxiːn
авах”|awax”
авбал|awpaɮ
авв|aww
аввал|awwaɮ
аввидн|awwitn
авгай|awɡaj
авгайд|awɡajt
авгайн|awɡajn
авгайтайгаа|awɡajtʰajɡaː
авгайчуудаас|awɡajt͡ʃʰʊːtaːs
август|awɡʊstʰ
авд|awt
авдаг|awtaɡ
авдаггүй|awtaɡɡuj
авдаггүйг|awtaɡɡujɡ
авдагт|awtaɡtʰ
авдаг”|awtaɡ”
авдг|awtɡ
авдгаараа|awtɡaːraː
авдго|awtɡɔ
авдраа|awtraː
авдрандаа|awtrantaː
авдрыг|awtriːɡ
авел|awJiɮ
авжээ|awt͡ʃɛː
авиа|awia
авиаг|awiaɡ
авиагаараа|awiaɡaːraː
авиад|awiat
авиануудыг|awianʊːtiːɡ
авилгатай|awiɮɡatʰaj
авир|awir
авиралт|awiraɮtʰ
авирах|awirax
авирахыг|awiraxiːɡ
авирладаг|awirɮataɡ
авирмид|awirmit
авирмэдийн|awirmɛtiːn
авиртай|awirtʰaj
авирч|awirt͡ʃʰ
авирчээ|awirt͡ʃʰɛː
авирыг|awiriːɡ
авич|awit͡ʃʰ
авлаа|awɮaː
авлав|awɮaw
авлага|awɮaɡa
авлагыг|awɮaɡiːɡ
авлига|awɮiɡa
авлигаа|awɮiɡaː
авлигаар|awɮiɡaːr
авлигад|awɮiɡat
авлигадсан|awɮiɡatsan
авлигажсан|awɮiɡat͡ʃsan
авлигалын|awɮiɡaɮiːn
авлигатай|awɮiɡatʰaj
авлигач|awɮiɡat͡ʃʰ
авлигачдаа|awɮiɡat͡ʃʰtaː
авлигачдын|awɮiɡat͡ʃʰtiːn
авлигачид|awɮiɡat͡ʃʰit
авлигачидтайгаа|awɮiɡat͡ʃʰittʰajɡaː
авлигачин|awɮiɡat͡ʃʰin
авлигыг|awɮiɡiːɡ
авлигын|awɮiɡiːn
авмаар|awmaːr
авмааргүй|awmaːrɡuj
авн|awn
авна|awna
авнавидн|awnawitn
авнагэлээ|awnaɡɛɮɛː
авна”|awna”
авр|awr
авраагүй|awraːɡuj
авраад|awraːt
авраарай|awraːraj
аврагдаж|awraɡtat͡ʃ
аврагдана|awraɡtana
аврагдсан|awraɡtsan
аврагчид|awraɡt͡ʃʰit
аврад|awrat
авран|awran
аврах|awrax
аврахаар|awraxaːr
аврач|awrat͡ʃʰ
аврачиг|awrat͡ʃʰiɡ
аврачин|awrat͡ʃʰin
аврсн|awrsn
авртха|awrtʰxa
аврх|awrx
аврхар|awrxar
аврхин|awrxin
аврхмн|awrxmn
аврҗ|awrҗ
авсан|awsan
авсангүй|awsanɡuj
авсанд|awsant
авсансэтгэцэд|awsansɛtʰɡɛt͡sʰɛt
авсан”|awsan”
авсмн|awsmn
авсн|awsn
авсна|awsna
авснаа|awsnaː
авснаар|awsnaːr
авснаас|awsnaːs
авсны|awsniː
авсныг|awsniːɡ
авсныгаа|awsniːɡaː
австралиас|awstʰraɮias
австралид|awstʰraɮit
австралийн|awstʰraɮiːn
австраличууд|awstʰraɮit͡ʃʰʊːt
австри|awstʰri
австрид|awstʰrit
австрийг|awstʰriːɡ
австрийн|awstʰriːn
автаагүй|awtʰaːɡuj
автаад|awtʰaːt
автагдахын|awtʰaɡtaxiːn
автаж|awtʰat͡ʃ
автал|awtʰaɮ
авталгүй|awtʰaɮɡuj
автан|awtʰan
автах|awtʰax
автдаг|awtʰtaɡ
автлан|awtʰɮan
автн|awtʰn
авто|awtʰɔ
автобус|awtʰɔpʊs
автобусаа|awtʰɔpʊsaː
автобусаар|awtʰɔpʊsaːr
автобусанд|awtʰɔpʊsant
автобуснууд|awtʰɔpʊsnʊːt
автобуснуудаа|awtʰɔpʊsnʊːtaː
автобуснуудад|awtʰɔpʊsnʊːtat
автобуснуудыг|awtʰɔpʊsnʊːtiːɡ
автобуснуудын|awtʰɔpʊsnʊːtiːn
автобусны|awtʰɔpʊsniː
автобустай|awtʰɔpʊstʰaj
автобусыг|awtʰɔpʊsiːɡ
автобусынхаа|awtʰɔpʊsiːnxaː
автобусэнд|awtʰɔpʊsɛnt
автобус”|awtʰɔpʊs”
автозам|awtʰɔt͡sam
автозамаар|awtʰɔt͡samaːr
автозамаас|awtʰɔt͡samaːs
автозамыг|awtʰɔt͡samiːɡ
автозамын|awtʰɔt͡samiːn
автомат|awtʰɔmatʰ
автоматаар|awtʰɔmatʰaːr
автоматжуулаад|awtʰɔmatʰt͡ʃʊːɮaːt
автоматжуулсан|awtʰɔmatʰt͡ʃʊːɮsan
автоматжуулснаар|awtʰɔmatʰt͡ʃʊːɮsnaːr
автомашинаа|awtʰɔmaʃinaː
автомашинаар|awtʰɔmaʃinaːr
автомашинаас|awtʰɔmaʃinaːs
автомашинд|awtʰɔmaʃint
автомашинтай|awtʰɔmaʃintʰaj
автомашинтайгаа|awtʰɔmaʃintʰajɡaː
автомашинуудын|awtʰɔmaʃinʊːtiːn
автомашины|awtʰɔmaʃiniː
автомашиныг|awtʰɔmaʃiniːɡ
автономи|awtʰɔnɔmi
автотээврийн|awtʰɔtʰɛːwriːn
автотээврийн|awtʰɔtʰɛːwriːn
автотээвэр|awtʰɔtʰɛːwɛr
автсан|awtʰsan
автуулаад|awtʰʊːɮaːt
автууллаа|awtʰʊːɮɮaː
автын|awtʰiːn
авх|awx
авхаалж|awxaːɮt͡ʃ
авхар|awxar
авхасн|awxasn
авхиа|awxia
авхин|awxin
авхмб|awxmp
авхмн|awxmn
авхмт|awxmtʰ
авхт|awxtʰ
авхуулъя|awxʊːɮъJa
авцгааж|awt͡sʰɡaːt͡ʃ
авцхав|awt͡sʰxaw
авч|awt͡ʃʰ
авчираад|awt͡ʃʰiraːt
авчиран|awt͡ʃʰiran
авчирдаг|awt͡ʃʰirtaɡ
авчирдаггүй|awt͡ʃʰirtaɡɡuj
авчирдгийг|awt͡ʃʰirtɡiːɡ
авчиржээ|awt͡ʃʰirt͡ʃɛː
авчирлаа|awt͡ʃʰirɮaː
авчирлаа”|awt͡ʃʰirɮaː”
авчирна|awt͡ʃʰirna
авчирсан|awt͡ʃʰirsan
авчирсанд|awt͡ʃʰirsant
авчирсантай|awt͡ʃʰirsantʰaj
авчируулж|awt͡ʃʰirʊːɮt͡ʃ
авчирч|awt͡ʃʰirt͡ʃʰ
авчиръя|awt͡ʃʰirъJa
авчих|awt͡ʃʰix
авчихаад|awt͡ʃʰixaːt
авчихаар|awt͡ʃʰixaːr
авчихаасай|awt͡ʃʰixaːsaj
авчихад|awt͡ʃʰixat
авчихаж|awt͡ʃʰixat͡ʃ
авчихвал|awt͡ʃʰixwaɮ
авчихдаг|awt͡ʃʰixtaɡ
авчихлаа|awt͡ʃʰixɮaː
авчихлаа”|awt͡ʃʰixɮaː”
авчихна|awt͡ʃʰixna
авчихсан|awt͡ʃʰixsan
авчихъя|awt͡ʃʰixъJa
авчкв|awt͡ʃʰkʰw
авчксмн|awt͡ʃʰkʰsmn
авчраад|awt͡ʃʰraːt
авчрах|awt͡ʃʰrax
авчрахаар|awt͡ʃʰraxaːr
авчрахаас|awt͡ʃʰraxaːs
авчрахад|awt͡ʃʰraxat
авчрахгүй|awt͡ʃʰraxɡuj
авчрахдаа|awt͡ʃʰraxtaː
авчрахыг|awt͡ʃʰraxiːɡ
авчхаад|awt͡ʃʰxaːt
авчхаж|awt͡ʃʰxat͡ʃ
авчээ|awt͡ʃʰɛː
авшгов|awʃɡɔw
авъя|awъJa
авъяаслагжүжигчин|awъJaasɮaɡt͡ʃut͡ʃiɡt͡ʃʰin
авьяасаа|awʲJaasaː
авьяасаараа|awʲJaasaːraː
авьяаслаг|awʲJaasɮaɡ
авьяастай|awʲJaastʰaj
авьяастайгаа|awʲJaastʰajɡaː
авьяасуудаа|awʲJaasʊːtaː
авьяасыг|awʲJaasiːɡ
авьяасын|awʲJaasiːn
авһиннь|awһinnʲ
ав”|aw”
агаад|aɡaːt
агаадаа|aɡaːtaː
агаараа|aɡaːraː
агаараар|aɡaːraːr
агааржуулагч|aɡaːrt͡ʃʊːɮaɡt͡ʃʰ
агаарт|aɡaːrtʰ
агаарын|aɡaːriːn
агар|aɡar
агваржин|aɡwart͡ʃin
агент|aɡJintʰ
агентлагийн|aɡJintʰɮaɡiːn
агентлагт|aɡJintʰɮaɡtʰ
агентлагтай|aɡJintʰɮaɡtʰaj
агентлагууд|aɡJintʰɮaɡʊːt
агентлагуудын|aɡJintʰɮaɡʊːtiːn
агнаад|aɡnaːt
агнадаг|aɡnataɡ
агнаж|aɡnat͡ʃ
агнасан|aɡnasan
агнахгүй|aɡnaxɡuj
агнуур|aɡnʊːr
агсан|aɡsan
агсны|aɡsniː
агсныг|aɡsniːɡ
агт|aɡtʰ
агтнаас|aɡtʰnaːs
агттай|aɡtʰtʰaj
агтыг|aɡtʰiːɡ
агуй|aɡʊi
агуйд|aɡʊit
агуйн|aɡʊin
агуйнуудаар|aɡʊinʊːtaːr
агуу|aɡʊː
агуулаагүй|aɡʊːɮaːɡuj
агуулагдаж|aɡʊːɮaɡtat͡ʃ
агуулагдах|aɡʊːɮaɡtax
агуулагддаг|aɡʊːɮaɡttaɡ
агуулагддагтай|aɡʊːɮaɡttaɡtʰaj
агуулагдсан|aɡʊːɮaɡtsan
агууламж|aɡʊːɮamt͡ʃ
агууламжийн|aɡʊːɮamt͡ʃiːn
агууламжтай|aɡʊːɮamt͡ʃtʰaj
агуулах|aɡʊːɮax
агуулахдаа|aɡʊːɮaxtaː
агуулахын|aɡʊːɮaxiːn
агуулга|aɡʊːɮɡa
агуулгаар|aɡʊːɮɡaːr
агуулгаараа|aɡʊːɮɡaːraː
агуулгад|aɡʊːɮɡat
агуулгатай|aɡʊːɮɡatʰaj
агуулгыг|aɡʊːɮɡiːɡ
агуулгын|aɡʊːɮɡiːn
агуулдаг|aɡʊːɮtaɡ
агуулж|aɡʊːɮt͡ʃ
агуулжээ|aɡʊːɮt͡ʃɛː
агуулсан|aɡʊːɮsan
агшаахын|aɡʃaːxiːn
агшиж|aɡʃit͡ʃ
агшилтыг|aɡʃiɮtʰiːɡ
агшныг|aɡʃniːɡ
адаацаг|ataːt͡sʰaɡ
адаг|ataɡ
адаглаад|ataɡɮaːt
адам|atam
адар|atar
адарин|atarin
адармаатай|atarmaːtʰaj
адарсүрэнгийн|atarsurɛnɡiːn
адгасан|atɡasan
адгийн|atɡiːn
адгуулах|atɡʊːɮax
адгуусаас|atɡʊːsaːs
адгууснаас|atɡʊːsnaːs
адгуусны|atɡʊːsniː
аденовирус|atJinɔwirʊs
адиа|atia
адиймаа|atiːmaː
адилаар|atiɮaːr
адилгүй|atiɮɡuj
адилтгаж|atiɮtʰɡat͡ʃ
адилтгал|atiɮtʰɡaɮ
адилтган|atiɮtʰɡan
адилтгах|atiɮtʰɡax
адилхан|atiɮxan
адис|atis
адлагдан|atɮaɡtan
адм|atm
адмд|atmt
адмирал|atmiraɮ
адтай|attʰaj
адууг|atʊːɡ
адуугаа|atʊːɡaː
адуугаар|atʊːɡaːr
адуугаараа|atʊːɡaːraː
адуун|atʊːn
адууны|atʊːniː
адуучид|atʊːt͡ʃʰit
адуучийн|atʊːt͡ʃʰiːn
адьшаа|atʲʃaː
адьяахүү|atʲJaaxuː
адһмтаһар|atһmtʰaһar
аерис|aJiris
аеробек|aJirɔpJikʰ
аж|at͡ʃ
ажаа|at͡ʃaː
ажаагүй|at͡ʃaːɡuj
ажааму|at͡ʃaːmʊ
ажваас|at͡ʃwaːs
ажгуу|at͡ʃɡʊː
ажиггүй|at͡ʃiɡɡuj
ажигдах|at͡ʃiɡtax
ажигла|at͡ʃiɡɮa
ажиглав|at͡ʃiɡɮaw
ажиглавал|at͡ʃiɡɮawaɮ
ажиглагдаагүй|at͡ʃiɡɮaɡtaːɡuj
ажиглагдав|at͡ʃiɡɮaɡtaw
ажиглагдаж|at͡ʃiɡɮaɡtat͡ʃ
ажиглагдана|at͡ʃiɡɮaɡtana
ажиглагдах|at͡ʃiɡɮaɡtax
ажиглагддаг|at͡ʃiɡɮaɡttaɡ
ажиглагджээ|at͡ʃiɡɮaɡtt͡ʃɛː
ажиглагдлаа|at͡ʃiɡɮaɡtɮaː
ажиглагдсан|at͡ʃiɡɮaɡtsan
ажиглагдсангүй|at͡ʃiɡɮaɡtsanɡuj
ажиглагчаараа|at͡ʃiɡɮaɡt͡ʃʰaːraː
ажиглагчдыг|at͡ʃiɡɮaɡt͡ʃʰtiːɡ
ажиглагчид|at͡ʃiɡɮaɡt͡ʃʰit
ажиглагчийн|at͡ʃiɡɮaɡt͡ʃʰiːn
ажигладаг|at͡ʃiɡɮataɡ
ажиглаж|at͡ʃiɡɮat͡ʃ
ажиглалт|at͡ʃiɡɮaɮtʰ
ажиглалтаас|at͡ʃiɡɮaɮtʰaːs
ажиглалтад|at͡ʃiɡɮaɮtʰat
ажиглалтын|at͡ʃiɡɮaɮtʰiːn
ажиглан|at͡ʃiɡɮan
ажиглана|at͡ʃiɡɮana
ажигласан|at͡ʃiɡɮasan
ажиглах|at͡ʃiɡɮax
ажиглахыг|at͡ʃiɡɮaxiːɡ
ажигч|at͡ʃiɡt͡ʃʰ
ажиж|at͡ʃit͡ʃ
ажилаа|at͡ʃiɮaː
ажилагсдад|at͡ʃiɮaɡstat
ажилаж|at͡ʃiɮat͡ʃ
ажиласан|at͡ʃiɮasan
ажилбар|at͡ʃiɮpar
ажилгаанд|at͡ʃiɮɡaːnt
ажилгүй|at͡ʃiɮɡuj
ажилгүйдлийг|at͡ʃiɮɡujtɮiːɡ
ажилгүйдэл|at͡ʃiɮɡujtɛɮ
ажилгүйдэлтэй|at͡ʃiɮɡujtɛɮtʰɛj
ажилд|at͡ʃiɮt
ажилдаа|at͡ʃiɮtaː
ажилла|at͡ʃiɮɮa
ажиллаагүй|at͡ʃiɮɮaːɡuj
ажиллаагүйг|at͡ʃiɮɮaːɡujɡ
ажиллаад|at͡ʃiɮɮaːt
ажиллаарай”|at͡ʃiɮɮaːraj”
ажиллаасай|at͡ʃiɮɮaːsaj
ажиллаач|at͡ʃiɮɮaːt͡ʃʰ
ажиллавал|at͡ʃiɮɮawaɮ
ажиллагаа|at͡ʃiɮɮaɡaː
ажиллагааг|at͡ʃiɮɮaɡaːɡ
ажиллагаагаа|at͡ʃiɮɮaɡaːɡaː
ажиллагаагаар|at͡ʃiɮɮaɡaːɡaːr
ажиллагаан|at͡ʃiɮɮaɡaːn
ажиллагаанаас|at͡ʃiɮɮaɡaːnaːs
ажиллагаанд|at͡ʃiɮɮaɡaːnt
ажиллагаандаа|at͡ʃiɮɮaɡaːntaː
ажиллагаанууд|at͡ʃiɮɮaɡaːnʊːt
ажиллагаануудад|at͡ʃiɮɮaɡaːnʊːtat
ажиллагааны|at͡ʃiɮɮaɡaːniː
ажиллагааных|at͡ʃiɮɮaɡaːniːx
ажиллагаатай|at͡ʃiɮɮaɡaːtʰaj
ажиллагаа”|at͡ʃiɮɮaɡaː”
ажиллагсад|at͡ʃiɮɮaɡsat
ажиллагсадын|at͡ʃiɮɮaɡsatiːn
ажиллагсдадаа|at͡ʃiɮɮaɡstataː
ажиллагсдын|at͡ʃiɮɮaɡstiːn
ажилладаг|at͡ʃiɮɮataɡ
ажилладаг”|at͡ʃiɮɮataɡ”
ажиллаж|at͡ʃiɮɮat͡ʃ
ажиллажээ|at͡ʃiɮɮat͡ʃɛː
ажиллалаа|at͡ʃiɮɮaɮaː
ажиллан|at͡ʃiɮɮan
ажиллана|at͡ʃiɮɮana
ажиллана”|at͡ʃiɮɮana”
ажилласаар|at͡ʃiɮɮasaːr
ажилласан|at͡ʃiɮɮasan
ажилласанд|at͡ʃiɮɮasant
ажилласнаар|at͡ʃiɮɮasnaːr
ажилласнаас|at͡ʃiɮɮasnaːs
ажилласны|at͡ʃiɮɮasniː
ажилласныг|at͡ʃiɮɮasniːɡ
ажиллах|at͡ʃiɮɮax
ажиллахаа|at͡ʃiɮɮaxaː
ажиллахаар|at͡ʃiɮɮaxaːr
ажиллахаас|at͡ʃiɮɮaxaːs
ажиллахад|at͡ʃiɮɮaxat
ажиллахгүй|at͡ʃiɮɮaxɡuj
ажиллахдаа|at͡ʃiɮɮaxtaː
ажиллахыг|at͡ʃiɮɮaxiːɡ
ажиллахын|at͡ʃiɮɮaxiːn
ажиллах”|at͡ʃiɮɮax”
ажиллачихаад|at͡ʃiɮɮat͡ʃʰixaːt
ажиллачихвал|at͡ʃiɮɮat͡ʃʰixwaɮ
ажиллачихмаар|at͡ʃiɮɮat͡ʃʰixmaːr
ажиллачихсан|at͡ʃiɮɮat͡ʃʰixsan
ажиллая|at͡ʃiɮɮaj
ажилла”|at͡ʃiɮɮa”
ажиллуул|at͡ʃiɮɮʊːɮ
ажиллуулаагүй|at͡ʃiɮɮʊːɮaːɡuj
ажиллуулаад|at͡ʃiɮɮʊːɮaːt
ажиллуулах|at͡ʃiɮɮʊːɮax
ажиллуулахаар|at͡ʃiɮɮʊːɮaxaːr
ажиллуулахад|at͡ʃiɮɮʊːɮaxat
ажиллуулахгүй|at͡ʃiɮɮʊːɮaxɡuj
ажиллуулахдаа|at͡ʃiɮɮʊːɮaxtaː
ажиллуулбал|at͡ʃiɮɮʊːɮpaɮ
ажиллуулдаг|at͡ʃiɮɮʊːɮtaɡ
ажиллуулдаггүй|at͡ʃiɮɮʊːɮtaɡɡuj
ажиллуулж|at͡ʃiɮɮʊːɮt͡ʃ
ажиллуулсан|at͡ʃiɮɮʊːɮsan
ажиллуулчихлаа|at͡ʃiɮɮʊːɮt͡ʃʰixɮaː
ажилсаг|at͡ʃiɮsaɡ
ажилсан|at͡ʃiɮsan
ажилтай|at͡ʃiɮtʰaj
ажилтанг|at͡ʃiɮtʰanɡ
ажилтанд|at͡ʃiɮtʰant
ажилтантай|at͡ʃiɮtʰantʰaj
ажилтантайгаа|at͡ʃiɮtʰantʰajɡaː
ажилтан”|at͡ʃiɮtʰan”
ажилтнууд|at͡ʃiɮtʰnʊːt
ажилтнуудаа|at͡ʃiɮtʰnʊːtaː
ажилтнуудад|at͡ʃiɮtʰnʊːtat
ажилтнууддаа|at͡ʃiɮtʰnʊːttaː
ажилтнуудтай|at͡ʃiɮtʰnʊːttʰaj
ажилтнуудыг|at͡ʃiɮtʰnʊːtiːɡ
ажилтнуудын|at͡ʃiɮtʰnʊːtiːn
ажилтны|at͡ʃiɮtʰniː
ажилтных|at͡ʃiɮtʰniːx
ажилчдаа|at͡ʃiɮt͡ʃʰtaː
ажилчдаас|at͡ʃiɮt͡ʃʰtaːs
ажилчдад|at͡ʃiɮt͡ʃʰtat
ажилчдадаа|at͡ʃiɮt͡ʃʰtataː
ажилчдыг|at͡ʃiɮt͡ʃʰtiːɡ
ажилчдын|at͡ʃiɮt͡ʃʰtiːn
ажилчдынхаа|at͡ʃiɮt͡ʃʰtiːnxaː
ажилчид|at͡ʃiɮt͡ʃʰit
